trade_date,dominant_code,close,oi,ema_fast,ema_slow,dif,dea,macd_hist,dif_slope,dea_slope,hist_slope,trend,signal,position
2015-04-01,NI1507.SHF,92500,70960,92500.0,92500.0,0.0,0.0,0.0,,,,sideways,0,0
2015-04-02,NI1507.SHF,96160,80724,93063.07692307692,92771.11111111111,291.96581196581246,58.3931623931625,467.14529914529993,291.96581196581246,58.3931623931625,467.14529914529993,strong_uptrend,0,0
2015-04-03,NI1507.SHF,97300,80998,93714.91124260354,93106.58436213991,608.3268804636318,168.37990600725638,879.8939489127508,316.36106849781936,109.98674361409388,412.7486497674509,strong_uptrend,0,0
2015-04-07,NI1507.SHF,96420,83542,94131.07874374145,93352.02255753695,779.0561862044997,290.51516204670503,977.0820483155893,170.72930574086786,122.13525603944865,97.18809940283847,strong_uptrend,0,0
2015-04-08,NI1507.SHF,93950,95102,94103.22047547354,93396.31718290459,706.9032925689535,373.79278815115475,666.2210088355974,-72.1528936355462,83.27762610444972,-310.86103947999186,uptrend,0,0
2015-04-09,NI1507.SHF,94300,99084,94133.49424847761,93463.25665083759,670.2375976400217,433.0817500489282,474.311695182187,-36.66569492893177,59.28896189777345,-191.90931365341044,uptrend,0,0
2015-04-10,NI1507.SHF,94540,105628,94196.03359486567,93543.0154174422,653.0181774234661,477.0690355238358,351.89828379926064,-17.21942021655559,43.987285474907594,-122.41341138292637,uptrend,0,0
2015-04-13,NI1507.SHF,95230,112858,94355.10534950173,93667.97723837242,687.1281111293065,519.0808506449299,336.09452096875316,34.109933705840376,42.011815121094116,-15.80376283050748,uptrend,0,0
2015-04-14,NI1507.SHF,93100,127690,94162.01221880915,93625.90485034483,536.1073684643197,522.4861542088079,27.242428511023718,-151.02074266498676,3.4053035638779647,-308.85209245772944,uptrend,0,0
2015-04-15,NI1507.SHF,94730,132258,94249.39495437697,93707.68967624521,541.7052781317616,526.3299789933986,30.750598276725896,5.597909667441854,3.8438247845907654,3.5081697657021778,strong_uptrend,0,0
2015-04-16,NI1507.SHF,95400,131624,94426.41111524205,93833.04599652335,593.3651187187061,539.7370069384601,107.25622356049189,51.65984058694448,13.407027945061486,76.505625283766,strong_uptrend,0,0
2015-04-17,NI1507.SHF,95850,127284,94645.4247898202,93982.44999678088,662.9747930393205,564.3845641586322,197.1804577613766,69.60967432061443,24.647557220172075,89.92423420088471,strong_uptrend,0,0
2015-04-20,NI1507.SHF,95410,116410,94763.05174523247,94088.19444146378,674.8573037686874,586.4791120806433,176.75638337608825,11.882510729366913,22.09454792201109,-20.42407438528835,uptrend,0,0
2015-04-21,NI1507.SHF,95880,110552,94934.88993827363,94220.92077913313,713.969159140499,611.9771214926144,203.98407529576912,39.111855371811544,25.49800941197111,27.227691919680865,strong_uptrend,0,0
2015-04-22,NI1507.SHF,96330,110516,95149.5222554623,94377.14886956771,772.3733858945925,644.05637437301,256.6340230431649,58.40422675409354,32.07925288039564,52.6499477473958,strong_uptrend,0,0
2015-04-23,NI1507.SHF,95860,110646,95258.82652385272,94486.98969404418,771.8368298085406,669.6124654601163,204.44872869684878,-0.5365560860518599,25.55609108710621,-52.18529434631614,uptrend,0,0
2015-04-24,NI1507.SHF,97830,113816,95654.39167402923,94734.62008707794,919.7715869512904,719.6442897583511,400.2545943858786,147.93475714274973,50.031824298234824,195.80586568902982,strong_uptrend,0,0
2015-04-27,NI1507.SHF,101490,116290,96552.17757033242,95235.01859914625,1317.1589711861743,839.1472260439158,956.023490284517,397.38738423488394,119.50293628556472,555.7688958986384,strong_uptrend,0,0
2015-04-28,NI1507.SHF,102650,111958,97490.3040979736,95784.27648069097,1706.027617282627,1012.5233042916581,1387.008625981938,388.8686460964527,173.37607824774227,430.9851356974209,strong_uptrend,0,0
2015-04-29,NI1507.SHF,101020,111334,98033.33423674689,96172.10785249164,1861.2263842552493,1182.2639202843764,1357.9249279417459,155.19876697262225,169.7406159927183,-29.083698040192075,uptrend,0,0
2015-04-30,NI1507.SHF,106010,125970,99260.51358493968,96900.84060415892,2359.672980780757,1417.7457323836525,1883.854496794209,498.44659652550763,235.4818120992761,525.929568852463,strong_uptrend,0,0
2015-05-04,NI1507.SHF,107580,128702,100540.43457187203,97691.88944829529,2848.5451235767396,1703.90561062227,2289.2790259089393,488.87214279598265,286.15987823861747,405.4245291147304,strong_uptrend,0,0
2015-05-05,NI1507.SHF,107960,133626,101681.90617619941,98452.49022990305,3229.415946296358,2009.0076777570875,2440.816537078541,380.87082271961845,305.1020671348176,151.53751116960166,strong_uptrend,0,0
2015-05-06,NI1507.SHF,113380,134182,103481.61291832257,99558.23169435468,3923.3812239678955,2391.8823869992493,3062.9976739372923,693.9652776715375,382.87470924216177,622.1811368587514,strong_uptrend,0,0
2015-05-07,NI1507.SHF,112500,123678,104869.05708473448,100516.88119847655,4352.17588625793,2783.941086850986,3136.4695988138883,428.79466229003447,392.0586998517365,73.47192487659595,strong_uptrend,0,0
2015-05-08,NI1507.SHF,112300,118556,106012.2790716984,101389.70481340421,4622.574258294189,3151.667721139627,2941.813074309125,270.3983720362594,367.726634288641,-194.65652450476318,uptrend,0,0
2015-05-11,NI1507.SHF,113880,128054,107222.6976760525,102314.91186426317,4907.785811789334,3502.8913392695686,2809.7889450395305,285.21155349514447,351.22361812994177,-132.0241292695946,uptrend,0,0
2015-05-12,NI1507.SHF,111600,126536,107896.12880281365,103002.69617061404,4893.432632199605,3780.999597855576,2224.8660686880576,-14.353179589728825,278.10825858600765,-584.922876351473,uptrend,0,0
2015-05-13,NI1507.SHF,111750,123868,108489.03206391924,103650.6446024204,4838.387461498831,3992.477170584227,1691.8205818292072,-55.04517070077418,211.477572728651,-533.0454868588504,uptrend,0,0
2015-05-14,NI1507.SHF,109400,121384,108629.18097716242,104076.52278001889,4552.658197143537,4104.513375896089,896.2896424948958,-285.7292643552937,112.03620531186198,-795.5309393343114,uptrend,0,0
2015-05-15,NI1507.SHF,110210,130696,108872.38390375282,104530.85442594341,4341.52947780941,4151.916596278754,379.22576306131305,-211.1287193341268,47.403220382664585,-517.0638794335828,uptrend,0,0
2015-05-18,NI1507.SHF,108610,121292,108832.01714932932,104833.01335735501,3999.0037919743045,4121.3340354178645,-244.66048688712,-342.52568583510583,-30.582560860889316,-623.886249948433,downtrend,-1,-1
2015-05-19,NI1507.SHF,106430,116362,108462.4760494325,104951.3086642176,3511.167385214896,3999.3007053772712,-976.2666403247504,-487.8364067594084,-122.03333004059323,-731.6061534376304,downtrend,0,-1
2015-05-20,NI1507.SHF,102340,107676,107520.55665721212,104757.87839279408,2762.678264418035,3751.976217185424,-1978.5959055347785,-748.4891207968612,-247.3244881918472,-1002.3292652100281,downtrend,0,-1
2015-05-21,NI1507.SHF,101070,106184,106528.16332533333,104484.70221555007,2043.461109783253,3410.27319570499,-2733.624171843474,-719.2171546347818,-341.703021480434,-755.0282663086955,downtrend,0,-1
2015-05-22,NI1507.SHF,100070,109808,105534.59973682051,104157.68723662043,1376.91250020008,3003.601056604008,-3253.377112807856,-666.548609583173,-406.6721391009819,-519.7529409643821,downtrend,0,-1
2015-05-25,NI1507.SHF,99480,114898,104603.12285423274,103811.19188575966,791.9309684730833,2561.267038977823,-3538.6721410094797,-584.9815317269968,-442.33401762618496,-285.2950282016236,downtrend,0,-1
2015-05-26,NI1507.SHF,100010,115194,103896.48856896618,103529.62211644414,366.86645252203743,2122.386921686666,-3511.040938329257,-425.0645159510459,-438.88011729115715,27.631202680222486,downtrend,0,-1
2015-05-27,NI1509.SHF,98110,121918,103006.25955835599,103128.16862633717,-121.90906798117794,1673.5277237530972,-3590.8735834685504,-488.7755205032154,-448.8591979335688,-79.83264513929316,downtrend,0,-1
2015-05-28,NI1509.SHF,99470,144198,102462.21962630122,102857.19317253442,-394.9735462332028,1259.8274697558372,-3309.60203197808,-273.06447825202486,-413.70025399726,281.2715514904703,downtrend,0,-1
2015-05-29,NI1509.SHF,97600,144488,101714.1858376395,102467.77145605038,-753.5856184108852,857.1448521224928,-3221.4609410667563,-358.6120721776824,-402.6826176333444,88.14109091132377,downtrend,0,-1
2015-06-01,NI1509.SHF,96810,156872,100959.69570877188,102048.67727412072,-1088.9815653488477,467.91956862822474,-3113.8022679541446,-335.39594693796244,-389.22528349426807,107.65867311261172,downtrend,0,-1
2015-06-02,NI1509.SHF,100280,179364,100855.12713819159,101917.66414270438,-1062.537004512793,161.82825400002122,-2448.730517025628,26.444560836054734,-306.0913146282035,665.0717509285164,downtrend,0,-1
2015-06-03,NI1509.SHF,99060,191776,100578.95373231596,101705.98531731887,-1127.0315850029147,-95.94371380056594,-2062.1757424046973,-64.49458049012173,-257.77196780058716,386.55477462093086,downtrend,0,-1
