group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-0.04831016575036357,-0.1977108224613435,-0.025069907950114,0.0034922406983059727,0.02351443159652042,305
2,-0.016459916249943637,-0.0250521499305848,-0.0082120704618689,0.0014865570053850157,0.02433196121977755,304
3,-0.002283983193617827,-0.0081960098413439,0.0016847825506445,0.006890894420645984,0.022950057367170745,304
4,0.0074390634176321815,0.0017343351361285,0.0133322257568941,0.004813195700369377,0.02676154909055671,304
5,0.022596975740978874,0.0133339917024884,0.0410290653617362,-0.002837070825315209,0.030544534103915288,305
