trade_date,ic
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,-0.29533047243138744
2020-04-03,-0.3194949868399551
2020-04-07,-0.34851211487851463
2020-04-08,-0.36910510186788825
2020-04-09,-0.3873836397897674
2020-04-10,-0.3732360101033957
2020-04-13,-0.3639950751578868
2020-04-14,-0.3739418493608614
2020-04-15,-0.38822003929173454
2020-04-16,-0.38030250362376616
2020-04-17,-0.35296354011010644
2020-04-20,-0.33925515984089283
2020-04-21,-0.34250706814135934
2020-04-22,-0.3677069203119739
2020-04-23,-0.37649382440337575
2020-04-24,-0.3889044928129334
2020-04-27,-0.3944995368828627
2020-04-28,-0.40976037688588846
2020-04-29,-0.4209477429554546
2020-04-30,-0.4272160420667236
2020-05-06,-0.4336890359346287
2020-05-07,-0.42691884555333626
2020-05-08,-0.4157930496926323
2020-05-11,-0.40439365688586343
2020-05-12,-0.4139623886668022
2020-05-13,-0.42595272303944
2020-05-14,-0.4481429075117455
2020-05-15,-0.4582718395320039
2020-05-18,-0.4678164140110117
2020-05-19,-0.4614762503063651
2020-05-20,-0.45974415285970627
2020-05-21,-0.4593533836384028
2020-05-22,-0.45999066174808423
2020-05-25,-0.44916933792549113
2020-05-26,-0.4485718217410858
2020-05-27,-0.46223137044962365
2020-05-28,-0.4897193980252633
2020-05-29,-0.503601089967667
2020-06-01,-0.4988171806227067
2020-06-02,-0.48719109995967674
2020-06-03,-0.48476331386852134
2020-06-04,-0.4805429755643628
2020-06-05,-0.48095048238744625
2020-06-08,-0.4715320501727453
2020-06-09,-0.44674150085019726
2020-06-10,-0.4396923883058578
2020-06-11,-0.36862389737153683
2020-06-12,-0.2552421421385782
2020-06-15,-0.09614652527923837
2020-06-16,0.14307925792731271
2020-06-17,0.12937828257948664
2020-06-18,0.12102985192608412
2020-06-19,-0.006124469268836655
2020-06-22,-0.0908561937230369
2020-06-23,0.025488174011259888
2020-06-24,0.01944409663061113
2020-06-29,0.03414867474121135
2020-06-30,0.02582737311726778
2020-07-01,0.014248472511227451
2020-07-02,-0.0639648394404787
2020-07-03,-0.086783566434743
2020-07-06,-0.08540439387569022
2020-07-07,-0.10641506731199389
2020-07-08,-0.12395195733696798
2020-07-09,-0.13473514735068207
2020-07-10,-0.13545742353660412
2020-07-13,-0.1538652027667281
2020-07-14,-0.16595128647129972
2020-07-15,-0.1678910633859258
2020-07-16,-0.1661422484650343
2020-07-17,-0.11128804510126614
2020-07-20,-0.09807100304337146
2020-07-21,-0.12448274907949662
2020-07-22,-0.16035002037778653
2020-07-23,-0.17597164276239172
2020-07-24,-0.168574378362046
2020-07-27,-0.1741482044027534
2020-07-28,-0.1775743261640164
2020-07-29,-0.19651599701277123
2020-07-30,-0.21136859966283644
2020-07-31,-0.22756400905427163
2020-08-03,-0.23482108897901885
2020-08-04,-0.2861360776268438
2020-08-05,-0.3626058788001425
2020-08-06,-0.4168889524900566
2020-08-07,-0.4732103822575473
2020-08-10,-0.4625496850389722
2020-08-11,-0.46847640859208806
2020-08-12,-0.43188005454251793
2020-08-13,-0.41886228708371787
2020-08-14,-0.34165936580239187
2020-08-17,-0.2960167654923022
2020-08-18,-0.2639981769021293
2020-08-19,-0.2929324814374621
2020-08-20,-0.3189648434118498
2020-08-21,-0.33236233123057585
2020-08-24,-0.33771239583846824
2020-08-25,-0.31893131613083203
2020-08-26,-0.31833242382312216
2020-08-27,-0.2808670272602167
2020-08-28,-0.2828091135329661
2020-08-31,-0.2922163666206478
2020-09-01,-0.3160672833493587
2020-09-02,-0.3182736221357337
2020-09-03,-0.30758920307535015
2020-09-04,-0.30421803043816914
2020-09-07,-0.3147501780631255
2020-09-08,-0.33309176275594715
2020-09-09,-0.3278744996215251
2020-09-10,-0.3185507856729152
2020-09-11,-0.3133695830135284
2020-09-14,-0.3079749639582956
2020-09-15,-0.315925327832524
2020-09-16,-0.2893706855030878
2020-09-17,-0.26188208282834474
2020-09-18,-0.236157833252884
2020-09-21,-0.23143105239175563
2020-09-22,-0.2572767129220632
2020-09-23,-0.2809745302522826
2020-09-24,-0.2835954014322085
2020-09-25,-0.2697578922811634
2020-09-28,-0.23707966109758505
2020-09-29,-0.2057981079526963
2020-09-30,-0.10653685538465568
2020-10-09,-0.05619426757381086
2020-10-12,0.037785008906861144
2020-10-13,-0.019050527835537682
2020-10-14,-0.0623155932962144
2020-10-15,-0.11689559511389545
2020-10-16,-0.0089266164729952
2020-10-19,0.08278319712674889
2020-10-20,0.14519096303396267
2020-10-21,0.09108341470844743
2020-10-22,0.031872986129600336
2020-10-23,0.0012708675919881679
2020-10-26,0.030993905232521428
2020-10-27,0.012451388660848299
2020-10-28,0.004567756753651532
2020-10-29,-0.03690299836343922
2020-10-30,-0.026493533630776694
2020-11-02,-0.03975663042529415
2020-11-03,-0.02966064295427987
2020-11-04,-0.031363320543468784
2020-11-05,-0.06016034532409888
2020-11-06,-0.09929454636262061
2020-11-09,-0.15401796043197896
2020-11-10,-0.14092075856850012
2020-11-11,-0.12193100866192336
2020-11-12,-0.05963310566990807
2020-11-13,-0.042484797622456494
2020-11-16,-0.03557151905731765
2020-11-17,0.01569870844082448
2020-11-18,0.03326017999563355
2020-11-19,0.13672929108917026
2020-11-20,0.1679832906398157
2020-11-23,0.1908577390324818
2020-11-24,0.21196370391159303
2020-11-25,0.23731669310555567
2020-11-26,0.22373710417242226
2020-11-27,0.22543565810576444
2020-11-30,0.26043478869676245
2020-12-01,0.24748716878087124
2020-12-02,0.21789590773243278
2020-12-03,0.22236315551410696
2020-12-04,0.24443447251823444
2020-12-07,0.24605780568630975
2020-12-08,0.22118626660249957
