period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.0025134176421003867,0.9217220097782126,0.017492640259634554,0.11001963339242168,0.1589956239650538,0.5710286913925823,1531
3D,0.004262407503314896,0.8677359915101105,-0.0032739522187233538,0.18008085759646936,-0.018180456614993054,0.5143658023826209,1529
5D,-0.009435857864807789,0.7125527591810642,-0.0282107575625404,0.213758552434785,-0.13197487184119633,0.47789473684210526,1527
10D,-0.011020432416636179,0.66748813799662,-0.0318622135209676,0.29351478711164214,-0.10855403175598236,0.4788732394366197,1522
20D,-0.0018853080596287377,0.9416082994318707,-0.040205031402975905,0.3913722643794215,-0.10272836136389715,0.4460992907801418,1512
