period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,0.014237877350190515,0.46059346266931744,0.0010790057296460437,0.14266160774971387,0.007563392468834754,0.4583491821985546,2688
3D,0.024409382775569487,0.20599477279198222,0.011854473375983759,0.20541093728933,0.057711013505022044,0.4815378759040731,2686
5D,0.022148787906977288,0.25135026540597777,0.010169857885240156,0.2462283323967195,0.041302549492373726,0.5211428571428571,2684
10D,0.024852468137639916,0.19846449107338224,0.02132085366686664,0.31416251050493255,0.06786568401366237,0.5576335877862595,2679
20D,0.032000105382580954,0.09836139884077251,0.0547008473636666,0.3624468819508593,0.1509210041185648,0.5934865900383142,2669
