group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-0.1619470760989921,-0.4961785124908627,-0.0423902779018871,0.0005777086149327276,0.049232783475643034,538
2,-0.014931476808355115,-0.0423761000594265,0.0022529278450241,-0.0005228414928350716,0.02563463232661657,537
3,0.012785592725334027,0.0023136529745819,0.0196585113480123,0.0022790532201142862,0.027933534717834014,537
4,0.026440785543430323,0.0197171861175958,0.0364440804376009,0.0009500334122934681,0.027065389112162858,537
5,0.05159699906527799,0.0365026331411036,0.1028803970191275,0.0015521023145603594,0.02786285278616566,537
