group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-0.09544110419960669,-0.2534742101701972,-0.053649635036496335,0.00015590173564919402,0.03882145437482274,529
2,-0.03213839796116416,-0.05362341044890451,-0.0133215789989225,0.003911184894393928,0.03182720727328637,528
3,0.0024680623709846024,-0.013306884866517876,0.018365928720341484,-0.0001824470782444334,0.03215085104647886,528
4,0.0377804756595766,0.018401242681324037,0.06267217630854005,0.0006026437381340486,0.04105030208394195,528
5,0.115621169214169,0.06297633373445644,0.5742428697441928,0.001548754951529166,0.05636983462757079,528
