period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.004170923146619625,0.8302286754845336,-0.12016029127762735,0.12772304453896993,-0.9407878720035123,0.15622583139984533,2645
3D,-0.026865339405506814,0.16735705619629648,-0.2114791345718284,0.2022031396135716,-1.0458746336777167,0.14280185758513933,2643
5D,-0.038187132466937515,0.04973354688408571,-0.2600186135862414,0.23483919690461857,-1.1072198211095468,0.13787761425251743,2641
10D,-0.013091772660626765,0.5016679559847147,-0.3125407642887465,0.2803063597201229,-1.1149970503730584,0.12650368645712068,2636
20D,0.05505823266063378,0.004769100061334866,-0.30882203773657396,0.33684836311847743,-0.916798392242607,0.1679002726918582,2626
