trade_date,dominant_code,close,oi,dominant_switch,switch_noise,momentum_return,ma_short,ma_long,trend_strength,momentum_zscore,trend_label,signal,position
2015-04-01,NI1507.SHF,92500,70960,False,False,,,,,,sideways,0,0.0
2015-04-02,NI1507.SHF,96160,80724,False,False,,,,,,sideways,0,0.0
2015-04-03,NI1507.SHF,97300,80998,False,False,,,,,,sideways,0,0.0
2015-04-07,NI1507.SHF,96420,83542,False,False,,,,,,sideways,0,0.0
2015-04-08,NI1507.SHF,93950,95102,False,False,,,,,,sideways,0,0.0
2015-04-09,NI1507.SHF,94300,99084,False,False,,,,,,sideways,0,0.0
2015-04-10,NI1507.SHF,94540,105628,False,False,,,,,,sideways,0,0.0
2015-04-13,NI1507.SHF,95230,112858,False,False,,,,,,sideways,0,0.0
2015-04-14,NI1507.SHF,93100,127690,False,False,,,,,,sideways,0,0.0
2015-04-15,NI1507.SHF,94730,132258,False,False,,94823.0,,,,sideways,0,0.0
2015-04-16,NI1507.SHF,95400,131624,False,False,,95113.0,,,,sideways,0,0.0
2015-04-17,NI1507.SHF,95850,127284,False,False,,95082.0,,,,sideways,0,0.0
2015-04-20,NI1507.SHF,95410,116410,False,False,,94893.0,,,,sideways,0,0.0
2015-04-21,NI1507.SHF,95880,110552,False,False,,94839.0,,,,sideways,0,0.0
2015-04-22,NI1507.SHF,96330,110516,False,False,,95077.0,,,,sideways,0,0.0
2015-04-23,NI1507.SHF,95860,110646,False,False,,95233.0,,,,sideways,0,0.0
2015-04-24,NI1507.SHF,97830,113816,False,False,,95562.0,,,,sideways,0,0.0
2015-04-27,NI1507.SHF,101490,116290,False,False,,96188.0,,,,sideways,0,0.0
2015-04-28,NI1507.SHF,102650,111958,False,False,,97143.0,,,,sideways,0,0.0
2015-04-29,NI1507.SHF,101020,111334,False,False,,97772.0,,,,sideways,0,0.0
2015-04-30,NI1507.SHF,106010,125970,False,False,0.14605405405405403,98833.0,,,7.529892876691179,sideways,0,0.0
2015-05-04,NI1507.SHF,107580,128702,False,False,0.1187603993344426,100006.0,,,6.617824184075314,sideways,0,0.0
2015-05-05,NI1507.SHF,107960,133626,False,False,0.10955806783144917,101261.0,,,6.122744282738549,sideways,0,0.0
2015-05-06,NI1507.SHF,113380,134182,False,False,0.17589711678075082,103011.0,,,8.731221628018579,sideways,0,0.0
2015-05-07,NI1507.SHF,112500,123678,False,False,0.19744544970729105,104628.0,,,10.43533631057055,sideways,0,0.0
2015-05-08,NI1507.SHF,112300,118556,False,False,0.19088016967126187,106272.0,,,10.022833978350398,sideways,0,0.0
2015-05-11,NI1507.SHF,113880,128054,False,False,0.20456949439390737,107877.0,,,10.7582565127542,sideways,0,0.0
2015-05-12,NI1507.SHF,111600,126536,False,False,0.17189961146697463,108888.0,,,8.538851524734033,sideways,0,0.0
2015-05-13,NI1507.SHF,111750,123868,False,False,0.2003222341568207,109798.0,,,10.5990012007654,sideways,0,0.0
2015-05-14,NI1507.SHF,109400,121384,False,False,0.15486118441887475,110636.0,,,7.759307131183702,sideways,0,0.0
2015-05-15,NI1507.SHF,110210,130696,False,False,0.15524109014675047,111056.0,,,7.778403856008824,sideways,0,0.0
2015-05-18,NI1507.SHF,108610,121292,False,False,0.13312467396974448,111159.0,,,6.478051718720574,sideways,0,0.0
2015-05-19,NI1507.SHF,106430,116362,False,False,0.11550151975683898,111006.0,,,5.430884417354039,sideways,0,0.0
2015-05-20,NI1507.SHF,102340,107676,False,False,0.06737588652482263,109902.0,,,2.8734783002187796,sideways,0,0.0
2015-05-21,NI1507.SHF,101070,106184,False,False,0.04920585487387097,108759.0,,,2.075059582481372,sideways,0,0.0
2015-05-22,NI1507.SHF,100070,109808,False,False,0.04391821406217411,107536.0,,,1.843501468771536,sideways,0,0.0
2015-05-25,NI1507.SHF,99480,114898,False,False,0.016865992026985577,106096.0,,,0.7178382969789097,sideways,0,0.0
