period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.01572342040266585,0.41514874084576736,-0.02114775498250081,0.13994315236055435,-0.1511167543804859,0.49220235831114495,2688
3D,-0.0165830557793351,0.3902837017500811,-0.02746334941058953,0.20512594529809403,-0.13388530334706866,0.5020936429387134,2686
5D,-0.025923606411889188,0.17939084531758964,-0.04584883226447545,0.2497558723650789,-0.18357459158139927,0.4441904761904762,2684
10D,-0.013779972104053372,0.47588328881442077,-0.03757760892463571,0.30346296139550666,-0.12382930935568243,0.44236641221374046,2679
20D,-0.012774808791120395,0.5094498349525742,-0.03241025270194917,0.31963987810145594,-0.10139614898633496,0.47586206896551725,2669
