group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,0.8836605396789814,0.0,1.213381768199892,-0.00036363027787875856,0.030685003014031223,538
2,1.4713899837693762,1.2159319339909307,1.6731164259834637,0.0023356564735146257,0.030755854711946723,537
3,1.9121979921107732,1.673720039997172,2.2102881638485354,0.0032361795885120625,0.03407161602514914,537
4,2.6473817578219347,2.21054288222918,3.2807400098667983,-0.0012822287865112145,0.038855844813864816,537
5,4.8928976243014715,3.281325583913938,11.874304009995704,0.0009118320302611057,0.028378495112207216,537
