period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,0.005564078407989844,0.8261912351070123,0.05198034438029966,0.13099306059645935,0.39681754242258427,0.6338418862690708,1560
3D,0.014895578781724242,0.5568601171104077,0.06592601941360428,0.22218373501748598,0.2967184767526564,0.5979166666666667,1558
5D,0.02171943701958257,0.3919087382300927,0.07595322537992569,0.2754036914766182,0.2757886975758788,0.6168289290681502,1556
10D,0.01088087850620463,0.6685157300613627,0.04192077128618473,0.38987346061639616,0.10752404439098605,0.5687369155617585,1551
20D,-0.02302447805978313,0.36640629389402,0.021851137272967818,0.4898716412697796,0.04460584249443023,0.5108924806746311,1541
