trade_date,factor_value,close,signal,period_forward_ret,strategy_period_ret,benchmark_period_ret,strategy_nav,benchmark_nav,holding_period
2019-09-25,-0.0988405271085481,15575,1,0.008025682182985605,0.008025682182985605,0.008025682182985605,1.0080256821829856,1.0080256821829856,3
2019-09-30,-0.0795616089655148,15700,0,0.0041401273885350864,0.0,0.0041401273885350864,1.0080256821829856,1.0121990369181382,3
2019-10-10,-0.0726775004858683,15765,0,-0.020615287028227125,-0.0,-0.020615287028227125,1.0080256821829856,0.9913322632423757,3
2019-10-15,-0.0568699646138228,15440,0,-0.02720207253886009,-0.0,-0.02720207253886009,1.0080256821829856,0.9643659711075442,3
2019-10-18,-0.0325313687263344,15020,0,-0.0029960053262316766,-0.0,-0.0029960053262316766,1.0080256821829856,0.9614767255216694,3
2019-10-23,-0.0367267309525706,14975,0,0.002003338898163509,0.0,0.002003338898163509,1.0080256821829856,0.9634028892455858,3
2019-10-28,-0.0393812272776928,15005,0,-0.0013328890369876945,-0.0,-0.0013328890369876945,1.0080256821829856,0.9621187800963081,3
2019-10-31,-0.0490103312611218,14985,0,-0.005005005005005003,-0.0,-0.005005005005005003,1.0080256821829856,0.9573033707865168,3
2019-11-05,-0.0437555754072035,14910,0,-0.008718980549966449,-0.0,-0.008718980549966449,1.0080256821829856,0.9489566613162119,3
2019-11-08,-0.0220112103712057,14780,0,-0.02841677943166443,-0.0,-0.02841677943166443,1.0080256821829856,0.9219903691813804,3
2019-11-13,-0.076979464044041,14360,0,-0.004178272980501441,-0.0,-0.004178272980501441,1.0080256821829856,0.9181380417335473,3
2019-11-18,-0.0441987929666778,14300,0,0.005244755244755206,0.0,0.005244755244755206,1.0080256821829856,0.9229534510433386,3
2019-11-21,-0.0297319071783847,14375,0,-0.0003478260869564931,-0.0,-0.0003478260869564931,1.0080256821829856,0.9226324237560192,3
2019-11-26,-0.0311640451471778,14370,0,-0.02540013917884476,-0.0,-0.02540013917884476,1.0080256821829856,0.8991974317817014,3
2019-11-29,-0.0217767959547878,14005,0,-0.01106747590146373,-0.0,-0.01106747590146373,1.0080256821829856,0.8892455858747994,3
2019-12-04,-0.0205493663606639,13850,0,0.006137184115523553,0.0,0.006137184115523553,1.0080256821829856,0.8947030497592297,3
2019-12-09,0.0,13935,0,0.02152852529601712,0.0,0.02152852529601712,1.0080256821829856,0.9139646869983948,3
2019-12-12,0.0014242513071933,14235,0,0.004566210045662045,0.0,0.004566210045662045,1.0080256821829856,0.9181380417335473,3
2019-12-17,-0.0184763670621029,14300,0,0.002797202797202747,0.0,0.002797202797202747,1.0080256821829856,0.9207062600321027,3
2019-12-20,-0.0198454704910678,14340,0,-0.006973500697350032,-0.0,-0.006973500697350032,1.0080256821829856,0.9142857142857143,3
2019-12-25,-0.0357572017956379,14240,0,-0.005617977528089901,-0.0,-0.005617977528089901,1.0080256821829856,0.9091492776886035,3
2019-12-30,-0.0439965511435318,14160,0,-0.028954802259887003,-0.0,-0.028954802259887003,1.0080256821829856,0.8828250401284109,3
2020-01-03,-0.0788178298144481,13750,0,0.01563636363636367,0.0,0.01563636363636367,1.0080256821829856,0.8966292134831461,3
2020-01-08,-0.0630329556329558,13965,0,0.0046544933762979745,0.0,0.0046544933762979745,1.0080256821829856,0.9008025682182986,3
2020-01-13,,14030,0,-0.006771204561653588,-0.0,-0.006771204561653588,1.0080256821829856,0.8947030497592297,3
2020-01-16,,13935,0,-0.005023322569070676,-0.0,-0.005023322569070676,1.0080256821829856,0.8902086677367578,3
2020-01-21,,13865,0,-0.060223584565452626,-0.0,-0.060223584565452626,1.0080256821829856,0.8365971107544142,3
2020-02-03,,13030,0,0.018035303146584747,0.0,0.018035303146584747,1.0080256821829856,0.8516853932584271,3
