trade_date,factor_value,close,signal,period_forward_ret,strategy_period_ret,benchmark_period_ret,strategy_nav,benchmark_nav,holding_period
2019-09-25,0.0,15575,0,0.008025682182985605,0.0,0.008025682182985605,1.0,1.0080256821829856,3
2019-09-30,-0.8421054946531337,15700,0,0.0041401273885350864,0.0,0.0041401273885350864,1.0,1.0121990369181382,3
2019-10-10,0.5994852334598244,15765,0,-0.020615287028227125,-0.0,-0.020615287028227125,1.0,0.9913322632423757,3
2019-10-15,-0.20886032933195353,15440,0,-0.02720207253886009,-0.0,-0.02720207253886009,1.0,0.9643659711075442,3
2019-10-18,-1.2295778165489608,15020,0,-0.0029960053262316766,-0.0,-0.0029960053262316766,1.0,0.9614767255216694,3
2019-10-23,0.568774176363789,14975,0,0.002003338898163509,0.0,0.002003338898163509,1.0,0.9634028892455858,3
2019-10-28,-0.3915502462691145,15005,0,-0.0013328890369876945,-0.0,-0.0013328890369876945,1.0,0.9621187800963081,3
2019-10-31,0.10320634981290322,14985,0,-0.005005005005005003,-0.0,-0.005005005005005003,1.0,0.9573033707865168,3
2019-11-05,0.04195866879456056,14910,0,-0.008718980549966449,-0.0,-0.008718980549966449,1.0,0.9489566613162119,3
2019-11-08,-0.29828748507035097,14780,0,-0.02841677943166443,-0.0,-0.02841677943166443,1.0,0.9219903691813804,3
2019-11-13,0.32671335557703407,14360,0,-0.004178272980501441,-0.0,-0.004178272980501441,1.0,0.9181380417335473,3
2019-11-18,-1.740121529167891,14300,-1,0.005244755244755206,-0.005244755244755206,0.005244755244755206,0.9947552447552448,0.9229534510433386,3
2019-11-21,-1.6347919135069657,14375,-1,-0.0003478260869564931,0.0003478260869564931,-0.0003478260869564931,0.9951012465795075,0.9226324237560192,3
2019-11-26,-1.9879840625868264,14370,-1,-0.02540013917884476,0.02540013917884476,-0.02540013917884476,1.020376956739669,0.8991974317817014,3
2019-11-29,-1.3775268337552244,14005,0,-0.01106747590146373,-0.0,-0.01106747590146373,1.020376956739669,0.8892455858747994,3
2019-12-04,-1.0493931130507743,13850,0,0.006137184115523553,0.0,0.006137184115523553,1.020376956739669,0.8947030497592297,3
2019-12-09,-0.406005822443265,13935,0,0.02152852529601712,0.0,0.02152852529601712,1.020376956739669,0.9139646869983948,3
2019-12-12,0.44534624660034217,14235,0,0.004566210045662045,0.0,0.004566210045662045,1.020376956739669,0.9181380417335473,3
2019-12-17,0.31093508734792996,14300,0,0.002797202797202747,0.0,0.002797202797202747,1.020376956739669,0.9207062600321027,3
2019-12-20,-0.2028544066430571,14340,0,-0.006973500697350032,-0.0,-0.006973500697350032,1.020376956739669,0.9142857142857143,3
2019-12-25,-0.3836233295262115,14240,0,-0.005617977528089901,-0.0,-0.005617977528089901,1.020376956739669,0.9091492776886035,3
2019-12-30,0.5199087641103932,14160,0,-0.028954802259887003,-0.0,-0.028954802259887003,1.020376956739669,0.8828250401284109,3
2020-01-03,1.0950401323906518,13750,0,0.01563636363636367,0.0,0.01563636363636367,1.020376956739669,0.8966292134831461,3
2020-01-08,0.37796928127989515,13965,0,0.0046544933762979745,0.0,0.0046544933762979745,1.020376956739669,0.9008025682182986,3
2020-01-13,0.38678136616223213,14030,0,-0.006771204561653588,-0.0,-0.006771204561653588,1.020376956739669,0.8947030497592297,3
2020-01-16,0.34556751752236936,13935,0,-0.005023322569070676,-0.0,-0.005023322569070676,1.020376956739669,0.8902086677367578,3
2020-01-21,-0.22551636346198278,13865,0,-0.060223584565452626,-0.0,-0.060223584565452626,1.020376956739669,0.8365971107544142,3
2020-02-03,-0.2990680323294248,13030,0,0.018035303146584747,0.0,0.018035303146584747,1.020376956739669,0.8516853932584271,3
2020-02-06,0.2731658786454072,13265,0,0.009800226159065284,0.0,0.009800226159065284,1.020376956739669,0.8600321027287321,3
2020-02-11,2.5328537410637124,13395,1,-0.0074654721911160404,-0.0074654721911160404,-0.0074654721911160404,1.0127593609446734,0.8536115569823437,3
2020-02-14,-1.5473295779874578,13295,-1,-0.009025949605114714,0.009025949605114714,-0.009025949605114714,1.0219004758986683,0.8459069020866775,3
