trade_date,roll_yield,dominant_code,close,virtual_real_ratio,oi_change,vol_change,signal,signal_text,roll_component,ratio_component,agreement_boost,combo_score_raw,combo_score
2020-01-02,0.0246912248037862,CU2003.SHF,49350,0.3237921179706328,,,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-03,0.0248438107998702,CU2003.SHF,48900,0.7609268133811008,-4156.0,45631.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-06,0.0248220718228483,CU2003.SHF,48760,0.762457985615339,5294.0,4201.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-07,0.025376373053886,CU2003.SHF,49010,0.4831077114052304,6467.0,-28375.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-08,0.0241286563480827,CU2003.SHF,48860,0.6763204117478862,3179.0,25186.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-09,0.0241675303460206,CU2003.SHF,48960,0.6083608703784525,5907.0,-4725.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-10,0.0272710962956758,CU2003.SHF,49010,0.35867860726097134,6243.0,-29798.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-13,0.0263158052739604,CU2003.SHF,48940,0.6235887439174771,874.0,36190.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-14,0.022802037215337,CU2003.SHF,49310,0.6989474864406542,7277.0,15292.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-15,0.0293487989962988,CU2003.SHF,49260,0.554529016217438,-1130.0,-21236.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-16,0.0282190464457183,CU2003.SHF,49200,0.36962649753347426,324.0,-26058.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-17,0.0245764598438747,CU2003.SHF,49250,0.5486582789840899,-1297.0,24693.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-20,0.0259303684729582,CU2003.SHF,49100,0.476491314204849,-2101.0,-11148.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-21,0.0229557906458011,CU2003.SHF,48420,0.7606723084156088,-10882.0,31082.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-22,0.0255915964173961,CU2003.SHF,48540,0.46875796990563634,-6069.0,-40099.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-01-23,0.0230695351482812,CU2003.SHF,48020,0.5070820295135409,-6824.0,1198.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-03,0.0310186449265851,CU2003.SHF,45040,0.8389187775536128,-7663.0,31642.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-04,0.0299367017718568,CU2003.SHF,45260,0.49375318833186477,751.0,-36584.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-05,0.0320679170934748,CU2003.SHF,45550,0.4198902187294623,218.0,-7872.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-06,0.0292053096316343,CU2003.SHF,46040,0.3268560970371546,-940.0,-10358.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-07,0.03214171382274,CU2003.SHF,45690,0.2577472841623785,-2153.0,-7956.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-10,0.0357078272346354,CU2003.SHF,45410,0.3219846338979913,3090.0,7736.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-11,0.0331174207636194,CU2003.SHF,45580,0.31090212658319333,2664.0,-369.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-12,0.0321799358148431,CU2003.SHF,45580,0.265239633817986,726.0,-4862.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
2020-02-13,0.0374189424890587,CU2003.SHF,45710,0.3215304329398052,1829.0,6860.0,neutral,展期与虚实盘信号未形成共振，维持中性判断,,,1.15,,
