period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.027152264748089613,0.1597157410579151,-0.03598111025292334,0.1199822033277032,-0.2998870603721903,0.37309451219512196,2683
3D,-0.018599689853174218,0.33570018059964574,-0.05022376639863267,0.1469306179145226,-0.34181960922433824,0.35392829900839057,2681
5D,-0.04648669151196292,0.016115674671756734,-0.08653180189438639,0.13759918291953652,-0.6288685736236337,0.25305343511450384,2679
10D,-0.0313744142251856,0.10479591815083585,-0.08601342975266273,0.128729608866621,-0.6681712972637301,0.2390057361376673,2674
20D,-0.02480424173599363,0.20060106655958967,-0.1051187224760221,0.14879714234392336,-0.7064565946639968,0.25182341650671786,2664
