trade_date,dominant_code,close,skew_factor,upside_skew,downside_skew,ret_5min_mean,ret_5min_std,bar_count
2025-10-17,SS2512.SHF,12630.0,0.2054944193894234,4.138063255046276,-2.0172928632989096,1.8395266623332957e-06,0.0003790646775806,225
2025-10-20,SS2512.SHF,12595.0,-0.1064329470563296,3.5099351418635725,-2.2946175997483715,-1.4098709504122705e-05,0.0003367011782762,225
2025-10-21,SS2512.SHF,12665.0,0.0780699397603333,1.9875864345803895,-1.5513399494657587,3.5963942460356746e-06,0.0003744260077965,225
2025-10-22,SS2512.SHF,12710.0,0.0763292963862486,2.0146144169309688,-2.635585731139176,1.0607084098357024e-05,0.0003385702101391,225
2025-10-23,SS2512.SHF,12765.0,0.7271978884120532,3.990925252003168,-2.2457890926975255,2.1112967077457516e-05,0.0003989379810466,225
2025-10-24,SS2512.SHF,12810.0,0.2253612986244702,1.624833658576796,-1.8154891836579168,-3.419005949115745e-06,0.0003595337012033,225
2025-10-27,SS2512.SHF,12815.0,-0.0089343565640635,2.5271493652149903,-2.2305069403649345,-8.626215782654811e-06,0.0003856516653491,225
2025-10-28,SS2512.SHF,12750.0,-0.0464730221036619,3.015080282729466,-2.4748512575678423,-8.690383457045073e-06,0.0003301757303786,225
2025-10-29,SS2512.SHF,12805.0,0.1424969913525032,2.3166736985405834,-2.157255727645873,8.786298890683744e-06,0.0003516835365281,225
2025-10-30,SS2512.SHF,12725.0,-0.2554296098054997,1.3926058721115848,-2.957261690867064,-2.7904252300794568e-05,0.0003840047754718,225
2025-10-31,SS2512.SHF,12655.0,-0.0264734866441616,2.5268935004327084,-2.1743939129472585,-6.981723320986094e-06,0.0003689231600685,225
2025-11-03,SS2512.SHF,12630.0,-0.0823668457142492,2.3164577640675827,-1.608446862127647,-1.22804059155739e-05,0.0003840400549053,225
2025-11-04,SS2512.SHF,12545.0,-0.18909707604298,1.360689514111547,-1.6800205694034211,7.85064166557159e-08,0.0003962385272501,225
2025-11-05,SS2601.SHF,12575.0,-0.0519247142588275,1.8130932829372075,-1.4547825881759042,-7.020625782552208e-06,0.0003846109661886,225
2025-11-06,SS2601.SHF,12610.0,0.1418862088312496,1.7066765712022745,-2.6665964394694335,2.1346006195422117e-05,0.0003269288315081,225
2025-11-07,SS2601.SHF,12570.0,-0.0708536836052296,2.9147906884286057,-2.3287165782322647,-5.270781900076111e-06,0.0003266088734267,225
2025-11-10,SS2601.SHF,12610.0,0.393595700001421,2.991176525111281,-2.6781117881813143,2.313646393355922e-05,0.0003603055869068,225
2025-11-11,SS2601.SHF,12520.0,-0.7829543697724487,2.7397597403496405,-4.946442865569477,-1.950923033877771e-05,0.0003437865763941,225
2025-11-12,SS2601.SHF,12485.0,-0.0842750194410947,3.5099904553407177,-2.5031190261987164,-1.065770381042138e-05,0.0003362379273447,225
2025-11-13,SS2601.SHF,12475.0,0.1903794457359575,1.5559342473923388,-2.666637707693581,3.64021802503869e-06,0.0003469687737451,225
2025-11-14,SS2601.SHF,12380.0,-0.0432319467788129,2.087643108961741,-2.2985582615686515,-7.124920203137121e-06,0.0004033018573837,225
2025-11-17,SS2601.SHF,12415.0,-0.3460965522407441,2.3697294872774153,-2.890520877037068,1.2676308058856851e-05,0.0003817520160787,225
