period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.0924977856961523,0.31293652607252026,-0.12107992130079012,0.047832327213181584,-2.531340797221822,0.03225806451612903,121
3D,0.02206966293791143,0.8116954166179946,-0.18999519307029727,0.06942587005769982,-2.736662758599818,0.016666666666666666,119
5D,-0.008714352080804448,0.9257050679442818,-0.1943264738587981,0.04042722994953639,-4.806821394920395,0.0,117
10D,-0.1339307069395565,0.15917852386114964,-0.1732758508418979,0.03573521933096275,-4.848881693913746,0.0,112
20D,-0.09216232874001277,0.35690166072992363,-0.006800668256409919,0.05785626002073793,-0.11754420790373064,0.3023255813953488,102
