trade_date,factor_value,close,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
2025-10-17,0.2054944193894234,12630.0,-0.0027711797307996555,0.0063341250989708,0.014251781472684133,0.001979414093428389,-0.019794140934283444
2025-10-20,-0.1064329470563296,12595.0,0.0055577610162762525,0.01349741961095674,0.017467248908296984,0.0027788805081381263,-0.014291385470424744
2025-10-21,0.0780699397603333,12665.0,0.0035530990919858674,0.011448874851954116,0.006711409395973256,-0.009474930911962054,-0.0236873272799053
2025-10-22,0.0763292963862486,12710.0,0.0043273013375295655,0.008261211644374544,0.007474429583005593,-0.01062155782848151,-0.029504327301337563
2025-10-23,0.7271978884120532,12765.0,0.003525264394829586,-0.001175088131609825,-0.0031335683509596812,-0.01214257735996871,-0.03760282021151584
2025-10-24,0.2253612986244702,12810.0,0.0003903200624510994,-0.0003903200624512104,-0.012099921935987523,-0.0187353629976581,-0.040593286494925884
2025-10-27,-0.0089343565640635,12815.0,-0.005072181037846235,-0.00702301989855636,-0.014436207569254789,-0.015996878657822844,-0.03745610612563399
2025-10-28,-0.0464730221036619,12750.0,0.004313725490196152,-0.0074509803921568585,-0.01607843137254905,-0.018039215686274535,-0.027058823529411802
2025-10-29,0.1424969913525032,12805.0,-0.006247559547051917,-0.013666536509176153,-0.017961733697774318,-0.02499023818820778,-0.027333073018352194
2025-10-30,-0.2554296098054997,12725.0,-0.005500982318271119,-0.01414538310412572,-0.009037328094302577,-0.01964636542239684,-0.024754420432220092
2025-10-31,-0.0264734866441616,12655.0,-0.0019755037534571196,-0.006321612011062849,-0.006716712761754229,-0.021730541288028427,-0.022915843540102676
2025-11-03,-0.0823668457142492,12630.0,-0.006730007917656322,-0.0015835312747426444,-0.0015835312747426444,-0.01702296120348379,-0.014647664291369766
2025-11-04,-0.18909707604298,12545.0,0.0023913909924273558,0.0019928258270227595,-0.0019928258270227595,-0.01434834595456358,-0.006377042646472653
2025-11-05,-0.0519247142588275,12575.0,0.002783300198807126,0.002783300198807126,-0.007157057654075594,-0.01908548707753477,-0.008747514910536824
2025-11-06,0.1418862088312496,12610.0,-0.003172085646312439,-0.007137192704202988,-0.010705789056304482,-0.02577319587628868,-0.014670896114195031
2025-11-07,-0.0708536836052296,12570.0,0.0031821797931583795,-0.00676213206046139,-0.01511535401750197,-0.022275258552108212,-0.005568814638027053
2025-11-10,0.393595700001421,12610.0,-0.007137192704202988,-0.010705789056304482,-0.015463917525773141,-0.02180808881839813,0.0011895321173671647
2025-11-11,-0.7829543697724487,12520.0,-0.0027955271565495154,-0.011182108626198062,-0.012380191693290743,-0.009185303514376963,0.007587859424920129
2025-11-12,-0.0842750194410947,12485.0,-0.0008009611533840166,-0.0056067280736884495,-0.012014417300760916,-0.002402883460152161,0.015218261914297093
2025-11-13,0.1903794457359575,12475.0,-0.007615230460921829,-0.008817635270541135,-0.015230460921843658,-0.0052104208416833275,0.012024048096192397
