group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-0.16216971445690104,-0.4961785124908627,-0.043148653949542,0.0005428385209909593,0.049272037925675916,537
2,-0.01504677379732329,-0.0423902779018871,0.0021380719816951,-0.00045405935220975825,0.0256237761902269,536
3,0.012708032860505881,0.0022245035316748,0.0195209801900722,0.0024497201333501016,0.02780014217397279,536
4,0.026380088810818436,0.0195728818592247,0.0364440804376009,0.0007947353036319707,0.027277130993301958,536
5,0.05162252186847325,0.0365026331411036,0.1028803970191275,0.001491328705960224,0.02785323294611064,536
