group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-0.16283433354871857,-0.4961785124908627,-0.0448813991034285,0.0008723027675512011,0.06005860745812793,534
2,-0.015366771174173219,-0.0445110541209402,0.0016032282838435,-0.0009419730462725663,0.032578233690902576,534
3,0.012543091337740835,0.001649309892801,0.0192677766252555,0.0037249215369009694,0.034314782634514304,534
4,0.02635904625808571,0.0193173147208828,0.0366884977280801,0.001643782492088711,0.036470917412048484,534
5,0.05167880260418067,0.0366953939063481,0.1028803970191275,0.0021018947011789413,0.03568741029265895,534
