near,far,pair,near_price,far_price,spread,spread_pct,day_diff,roll_yield,roll_yield_pct,weight,structure
NI2604,NI2605,NI2604-NI2605,134030.0,134330.0,300.0,0.223830485712154,30,0.027202276944955806,2.7202276944955806,11442.0,contango
NI2605,NI2606,NI2605-NI2606,134330.0,134620.0,290.0,0.21588625027916328,31,0.025391466460978142,2.539146646097814,81701.0,contango
NI2606,NI2607,NI2606-NI2607,134620.0,134920.0,300.0,0.2228495023027782,30,0.027083189932394742,2.708318993239474,36246.0,contango
NI2607,NI2608,NI2607-NI2608,134920.0,135250.0,330.0,0.24458938630299437,31,0.028763266116029678,2.876326611602968,14928.0,contango
NI2608,NI2609,NI2608-NI2609,135250.0,135590.0,340.0,0.2513863216266174,31,0.029561570738186774,2.9561570738186775,14928.0,contango
NI2609,NI2610,NI2609-NI2610,135590.0,135770.0,180.0,0.13275315288738107,30,0.01614092217866651,1.614092217866651,5574.0,contango
NI2610,NI2611,NI2610-NI2611,135770.0,136010.0,240.0,0.17676953671650586,31,0.020794813350076286,2.0794813350076287,1557.0,contango
NI2611,NI2612,NI2611-NI2612,136010.0,136410.0,400.0,0.2940960223512977,30,0.0357291694011194,3.57291694011194,1557.0,contango
