trade_date,Close,VIX,rsi,vix_mean,vix_std,vix_z,signal,position,holding_days,strategy_position,buy_hold_return,strategy_return,buy_hold_equity,strategy_equity
2016-04-29,2065.3,15.7,24.914219183978034,14.360499999999998,0.9894734112541617,1.3537503734457899,0,0,0,0.0,0.0,0.0,10000.0,10000.0
2016-05-02,2081.43,14.68,31.95180226346322,14.388499999999999,0.9902326946095469,0.29437525299539896,0,0,0,0.0,0.007810003389338016,0.0,10078.10003389338,10000.0
2016-05-03,2063.37,15.6,28.707446578292377,14.397499999999999,1.000862128367339,1.2014641836449387,1,1,1,0.0,-0.008676727057840061,-0.0,9990.65511063768,10000.0
2016-05-04,2051.12,16.05,26.725202489735196,14.495500000000002,1.0631852588974522,1.462115832580346,0,1,2,1.0,-0.005936889651395494,-0.005936889651395494,9931.341693700671,9940.631103486045
2016-05-05,2050.63,15.91,26.645945353947013,14.482999999999999,1.0438799083984205,1.3670154857079158,0,1,3,1.0,-0.00023889387261577522,-0.00023889387261577522,9928.969157023193,9938.256347625487
2016-05-06,2057.14,14.72,29.631765315931162,14.451000000000002,1.0252234672961484,0.26238182072581684,0,1,4,1.0,0.003174634136826171,0.003174634136826171,9960.490001452574,9969.806675487189
2016-05-09,2058.69,14.57,30.35861115617729,14.366499999999998,0.9338504050153685,0.21791498821125718,0,1,5,1.0,0.0007534732687128898,0.0007534732687128898,9967.99496441195,9977.318658311406
2016-05-10,2084.39,13.63,41.20303895564004,14.3055,0.9404280940082549,-0.7182898982961159,-1,0,0,1.0,0.012483666797817872,0.012483666797817872,10092.432092189996,10101.872179977416
2016-05-11,2064.46,14.69,36.46137164621178,14.347999999999999,0.9374859998954647,0.3648054478020318,0,0,0,0.0,-0.0095615503816463,-0.0,9995.932794267177,10101.872179977416
2016-05-12,2064.11,14.41,36.382187895028075,14.382500000000002,0.9257820307291841,0.029704616299733047,0,0,0,0.0,-0.00016953585925616466,-0.0,9994.238125211834,10101.872179977416
2016-05-13,2046.61,15.04,32.57313254442619,14.4535,0.9186504690090381,0.6384365107140971,0,0,0,0.0,-0.008478230326872227,-0.0,9909.50467244468,10101.872179977416
2016-05-16,2066.66,14.68,40.286782952047616,14.52,0.8819714758485819,0.18141176260383862,0,0,0,0.0,0.009796688181920254,0.0,10006.5849997579,10101.872179977416
2016-05-17,2047.21,15.57,35.985974074417896,14.636500000000002,0.8575440758965472,1.0885737844134027,0,0,0,0.0,-0.009411320681679491,-0.0,9912.409819396697,10101.872179977416
2016-05-18,2047.63,15.95,36.14449997637772,14.77,0.8429584493724596,1.3998317483838625,0,0,0,0.0,0.00020515726281145064,0.0,9914.443422263108,10101.872179977416
2016-05-19,2040.04,16.33,34.4826095538543,14.889000000000001,0.8879005397121084,1.6229295236910488,0,0,0,0.0,-0.0037067243593813526,-0.0,9877.693313320096,10101.872179977416
2016-05-20,2052.32,15.2,39.34208007204645,14.988,0.7978299515429015,0.2657207837209154,0,0,0,0.0,0.006019489813925416,0.0,9937.151987604706,10101.872179977416
2016-05-23,2048.04,15.82,38.27647952967951,15.075,0.7884194715745524,0.9449284636668874,0,0,0,0.0,-0.002085444764948985,-0.0,9916.428606013655,10101.872179977416
2016-05-24,2076.06,14.42,48.173377008615915,15.098000000000003,0.7603918657335086,-0.8916455193086172,0,0,0,0.0,0.013681373410675546,0.0,10052.098968672832,10101.872179977416
2016-05-25,2090.54,13.9,52.41923009042513,15.104499999999998,0.7489113151066279,-1.608334626147963,0,0,0,0.0,0.006974750248066153,0.0,10122.209848448167,10101.872179977416
2016-05-26,2090.1,13.43,52.27907504251621,15.015,0.8362478856868885,-1.8953710103530992,0,0,0,0.0,-0.0002104719354808493,-0.0,10120.07940735002,10101.872179977416
2016-05-27,2099.06,13.12,54.92221804972117,14.886000000000001,0.9198363698878311,-1.9199066897249948,0,0,0,0.0,0.004286876226017977,0.0,10163.462935166803,10101.872179977416
2016-05-31,2096.96,14.19,54.16499042790125,14.861500000000001,0.932056441706358,-0.7204499319490312,0,0,0,0.0,-0.0010004478195001498,-0.0,10153.294920834744,10101.872179977416
2016-06-01,2099.33,14.2,54.920382352971075,14.7915,0.9262276348603238,-0.638611911087277,0,0,0,0.0,0.001130207538531991,0.0,10164.77025129521,10101.872179977416
2016-06-02,2105.26,13.63,56.83717825012108,14.670499999999999,0.9111154239664013,-1.1420067892938754,0,0,0,0.0,0.002824710741046177,0.0,10193.482787004312,10101.872179977416
2016-06-03,2099.13,13.47,54.268363212754075,14.5485,0.8996974637709003,-1.1987362901743492,0,0,0,0.0,-0.0029117543676315805,-0.0,10163.801868977873,10101.872179977416
2016-06-06,2109.41,13.65,57.719467608605356,14.495,0.9205347416183252,-0.9179447138675786,0,0,0,0.0,0.004897266962979874,0.0,10213.576720089093,10101.872179977416
2016-06-07,2112.13,14.05,58.609493348143246,14.469,0.9256343486325591,-0.4526625450092555,0,0,0,0.0,0.0012894600859958416,0.0,10226.746719604904,10101.872179977416
2016-06-08,2119.12,14.08,60.888073363860144,14.491499999999998,0.9094953777261675,-0.4524486985616034,0,0,0,0.0,0.003309455383901483,0.0,10260.591681595899,10101.872179977416
2016-06-09,2115.48,14.64,59.064598875113944,14.488999999999999,0.9089896067960067,0.16611851100503136,0,0,0,0.0,-0.0017176941371889187,-0.0,10242.967123420332,10101.872179977416
2016-06-10,2096.07,17.03,50.39730354155403,14.62,1.071305155799274,2.2495924592110836,0,0,0,0.0,-0.009175222644506098,-0.0,10148.985619522595,10101.872179977416
