trade_date,factor_value,close,signal,period_forward_ret,strategy_period_ret,benchmark_period_ret,strategy_nav,benchmark_nav,holding_period
2019-09-25,,15575,0,0.008025682182985605,0.0,0.008025682182985605,1.0,1.0080256821829856,3
2019-09-30,,15700,0,0.0041401273885350864,0.0,0.0041401273885350864,1.0,1.0121990369181382,3
2019-10-10,,15765,0,-0.020615287028227125,-0.0,-0.020615287028227125,1.0,0.9913322632423757,3
2019-10-15,,15440,0,-0.02720207253886009,-0.0,-0.02720207253886009,1.0,0.9643659711075442,3
2019-10-18,,15020,0,-0.0029960053262316766,-0.0,-0.0029960053262316766,1.0,0.9614767255216694,3
2019-10-23,,14975,0,0.002003338898163509,0.0,0.002003338898163509,1.0,0.9634028892455858,3
2019-10-28,,15005,0,-0.0013328890369876945,-0.0,-0.0013328890369876945,1.0,0.9621187800963081,3
2019-10-31,,14985,0,-0.005005005005005003,-0.0,-0.005005005005005003,1.0,0.9573033707865168,3
2019-11-05,,14910,0,-0.008718980549966449,-0.0,-0.008718980549966449,1.0,0.9489566613162119,3
2019-11-08,,14780,0,-0.02841677943166443,-0.0,-0.02841677943166443,1.0,0.9219903691813804,3
2019-11-13,0.9620321773282687,14360,0,-0.004178272980501441,-0.0,-0.004178272980501441,1.0,0.9181380417335473,3
2019-11-18,-0.18036336894014446,14300,0,0.005244755244755206,0.0,0.005244755244755206,1.0,0.9229534510433386,3
2019-11-21,-0.47518604952615007,14375,0,-0.0003478260869564931,-0.0,-0.0003478260869564931,1.0,0.9226324237560192,3
2019-11-26,-0.40737723461764247,14370,0,-0.02540013917884476,-0.0,-0.02540013917884476,1.0,0.8991974317817014,3
2019-11-29,-0.5719908937076156,14005,0,-0.01106747590146373,-0.0,-0.01106747590146373,1.0,0.8892455858747994,3
2019-12-04,-0.5812858012691607,13850,0,0.006137184115523553,0.0,0.006137184115523553,1.0,0.8947030497592297,3
2019-12-09,-1.011154889263374,13935,0,0.02152852529601712,0.0,0.02152852529601712,1.0,0.9139646869983948,3
2019-12-12,-1.3711833798302344,14235,-1,0.004566210045662045,-0.004566210045662045,0.004566210045662045,0.995433789954338,0.9181380417335473,3
2019-12-17,-0.29271261946464144,14300,0,0.002797202797202747,0.0,0.002797202797202747,0.995433789954338,0.9207062600321027,3
2019-12-20,-0.34394648138558687,14340,0,-0.006973500697350032,-0.0,-0.006973500697350032,0.995433789954338,0.9142857142857143,3
2019-12-25,0.0723814880787921,14240,0,-0.005617977528089901,-0.0,-0.005617977528089901,0.995433789954338,0.9091492776886035,3
2019-12-30,0.20346138414978723,14160,0,-0.028954802259887003,-0.0,-0.028954802259887003,0.995433789954338,0.8828250401284109,3
2020-01-03,1.1246590445840003,13750,1,0.01563636363636367,0.01563636363636367,0.01563636363636367,1.0109987546699877,0.8966292134831461,3
2020-01-08,0.7848756152033225,13965,0,0.0046544933762979745,0.0,0.0046544933762979745,1.0109987546699877,0.9008025682182986,3
2020-01-13,,14030,0,-0.006771204561653588,-0.0,-0.006771204561653588,1.0109987546699877,0.8947030497592297,3
2020-01-16,,13935,0,-0.005023322569070676,-0.0,-0.005023322569070676,1.0109987546699877,0.8902086677367578,3
2020-01-21,,13865,0,-0.060223584565452626,-0.0,-0.060223584565452626,1.0109987546699877,0.8365971107544142,3
2020-02-03,,13030,0,0.018035303146584747,0.0,0.018035303146584747,1.0109987546699877,0.8516853932584271,3
2020-02-06,,13265,0,0.009800226159065284,0.0,0.009800226159065284,1.0109987546699877,0.8600321027287321,3
2020-02-11,,13395,0,-0.0074654721911160404,-0.0,-0.0074654721911160404,1.0109987546699877,0.8536115569823437,3
2020-02-14,,13295,0,-0.009025949605114714,-0.0,-0.009025949605114714,1.0109987546699877,0.8459069020866775,3
2020-02-19,,13175,0,-0.006831119544592035,-0.0,-0.006831119544592035,1.0109987546699877,0.840128410914928,3
2020-02-24,,13085,0,-0.030187237294612146,-0.0,-0.030187237294612146,1.0109987546699877,0.8147672552166936,3
2020-02-27,-0.19994252745282176,12690,0,-0.0011820330969266601,-0.0,-0.0011820330969266601,1.0109987546699877,0.8138041733547353,3
2020-03-03,-0.32894008578197037,12675,0,-0.0063116370808679045,-0.0,-0.0063116370808679045,1.0109987546699877,0.8086677367576245,3
2020-03-06,-0.2629753014239814,12595,0,-0.017864231838030986,-0.0,-0.017864231838030986,1.0109987546699877,0.7942215088282505,3
2020-03-11,-0.5581740015622246,12370,0,-0.012530315278900583,-0.0,-0.012530315278900583,1.0109987546699877,0.7842696629213484,3
2020-03-16,-0.642037743596504,12215,0,-0.022103970528039252,-0.0,-0.022103970528039252,1.0109987546699877,0.7669341894060996,3
2020-03-19,-0.8533846816564463,11945,0,-0.012138970280452077,-0.0,-0.012138970280452077,1.0109987546699877,0.7576243980738363,3
2020-03-24,-0.608356906112908,11800,0,0.022881355932203418,0.0,0.022881355932203418,1.0109987546699877,0.7749598715890851,3
2020-03-27,-0.47086619859054885,12070,0,-0.007042253521126751,-0.0,-0.007042253521126751,1.0109987546699877,0.769502407704655,3
2020-04-01,-0.5368694994955606,11985,0,0.0054234459741342445,0.0,0.0054234459741342445,1.0109987546699877,0.7736757624398074,3
2020-04-07,0.14356728401045807,12050,0,0.03360995850622417,0.0,0.03360995850622417,1.0109987546699877,0.7996789727126806,3
2020-04-10,0.10519640188051498,12455,0,0.0325170614211161,0.0,0.0325170614211161,1.0109987546699877,0.8256821829855538,3
2020-04-15,0.04943457545063945,12860,0,0.035769828926905056,0.0,0.035769828926905056,1.0109987546699877,0.8552166934189406,3
2020-04-20,1.1906453148309888,13320,1,-0.021396396396396344,-0.021396396396396344,-0.021396396396396344,0.9893670245588055,0.8369181380417335,3
2020-04-23,1.012673714363669,13035,0,-0.014576141158419653,-0.0,-0.014576141158419653,0.9893670245588055,0.8247191011235955,3
2020-04-28,0.30418853323049044,12845,0,0.028804982483456643,0.0,0.028804982483456643,0.9893670245588055,0.8484751203852328,3
2020-05-06,-0.14407290109045912,13215,0,0.03480892924706769,0.0,0.03480892924706769,0.9893670245588055,0.8780096308186196,3
2020-05-11,-0.5236922232338476,13675,0,-0.018647166361974388,-0.0,-0.018647166361974388,0.9893670245588055,0.8616372391653291,3
2020-05-14,0.9210217739273024,13420,0,0.002608047690014992,0.0,0.002608047690014992,0.9893670245588055,0.8638844301765651,3
2020-05-19,0.8268362010011142,13455,0,-0.024897807506503167,-0.0,-0.024897807506503167,0.9893670245588055,0.8423756019261638,3
2020-05-22,-0.43244599988846316,13120,0,-0.009146341463414642,-0.0,-0.009146341463414642,0.9893670245588055,0.8346709470304976,3
2020-05-27,0.9834630372704267,13000,0,0.007307692307692237,0.0,0.007307692307692237,0.9893670245588055,0.8407704654895666,3
2020-06-01,0.5312708884789916,13095,0,-0.019473081328751474,-0.0,-0.019473081328751474,0.9893670245588055,0.8243980738362761,3
2020-06-04,1.3452857760526284,12840,1,0.008177570093457875,0.008177570093457875,0.008177570093457875,0.997457642750291,0.8311396468699839,3
2020-06-09,0.905681722123032,12945,0,-0.01390498261877171,-0.0,-0.01390498261877171,0.997457642750291,0.8195826645264846,3
2020-06-12,0.650302769162788,12765,0,-0.003525264394829586,-0.0,-0.003525264394829586,0.997457642750291,0.8166934189406099,3
2020-06-17,1.0112327200425302,12720,0,0.03812893081761004,0.0,0.03812893081761004,0.997457642750291,0.8478330658105938,3
2020-06-22,0.901819652421043,13205,0,-0.0034078000757289395,-0.0,-0.0034078000757289395,0.997457642750291,0.8449438202247189,3
