period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.0013847086859967272,0.95675580680295,0.01857214783855347,0.11134856126500138,0.16679288557984262,0.5725244072524407,1536
3D,0.005387243669731027,0.8330214909966025,-0.0020808884266877345,0.18093658230341825,-0.011500650671063452,0.5160614525139665,1534
5D,-0.00625939307736381,0.806611373250708,-0.02689462752341904,0.21462252776659904,-0.12531129794849316,0.4797202797202797,1532
10D,-0.003739367025119548,0.8839186064781337,-0.03242830576477101,0.2932296520907937,-0.11059013143299068,0.47719298245614034,1527
20D,0.003639168517206211,0.8873766483719266,-0.041229241482357876,0.39106461676412235,-0.10542820729604907,0.44452296819787984,1517
