trade_date,roll_yield,pairs_count,structure
2015-09-29,0.050733594768358016,4,contango
2015-09-30,0.06202282475953799,4,contango
2015-10-08,0.0530060925211817,4,contango
2015-10-09,0.04397196513574024,4,contango
2015-10-12,0.04443192091326331,4,contango
2015-10-13,0.022620203108105516,4,contango
2015-10-14,0.04689719434140989,4,contango
2015-10-15,0.02896967569300893,3,contango
2015-10-16,0.039029631761975936,3,contango
2015-10-19,0.04476079319070798,3,contango
2015-10-20,0.044649149472035465,3,contango
2015-10-21,0.03835808433902165,3,contango
2015-10-22,0.03826561809635314,3,contango
2015-10-23,0.048422198496583704,3,contango
2015-10-26,0.04559287539672583,3,contango
2015-10-27,0.04158370044108348,3,contango
2015-10-28,0.047163312741616926,3,contango
2015-10-29,0.04499528615713374,3,contango
2015-10-30,0.06148436286517297,3,contango
2015-11-02,0.01557035670610711,3,contango
2015-11-03,0.035861584131364165,3,contango
2015-11-04,0.03889199407797421,3,contango
2015-11-05,-0.005250500647755091,4,backwardation
2015-11-06,0.04974800275807293,4,contango
2015-11-09,0.024912513068426057,4,contango
2015-11-10,0.048136413047770124,4,contango
2015-11-11,0.03294981829557469,4,contango
2015-11-12,0.0431623738113372,4,contango
2015-11-13,0.04732376047202771,4,contango
2015-11-16,0.04135045256266708,3,contango
2015-11-17,0.057576394237609185,3,contango
2015-11-18,0.03350016937166794,3,contango
2015-11-19,0.040711341919815486,3,contango
2015-11-20,0.04720030706896065,3,contango
2015-11-23,0.012558009767571536,3,contango
2015-11-24,0.04016166650094284,3,contango
2015-11-25,0.05975719445597722,3,contango
2015-11-26,0.054901075900620266,3,contango
2015-11-27,0.049319407015082084,3,contango
2015-11-30,0.0930918510626424,3,contango
2015-12-01,0.029768036327191293,3,contango
2015-12-02,0.03303492954864027,3,contango
2015-12-03,-0.0007287438793142367,3,contango
2015-12-04,0.06009085488462493,3,contango
2015-12-07,0.10288039701912757,3,contango
2015-12-08,0.05204141282912292,3,contango
2015-12-09,0.06887720013972165,3,contango
2015-12-10,0.03514914976975051,3,contango
2015-12-11,0.06122427398996702,3,contango
2015-12-14,0.07798692029104616,4,contango
2015-12-15,0.054886065616715794,3,contango
2015-12-16,0.0516396834001719,3,contango
2015-12-17,0.05966015937573797,4,contango
2015-12-18,0.05564772461769237,4,contango
2015-12-21,0.05649790285894177,4,contango
2015-12-22,0.059030298411406806,3,contango
2015-12-23,0.059624588145329005,4,contango
2015-12-24,0.05778910349967933,3,contango
2015-12-25,0.05881878765130629,4,contango
2015-12-28,0.060888641602086215,4,contango
2015-12-29,0.06020539850040606,4,contango
2015-12-30,0.05452986633983781,4,contango
2015-12-31,0.05880824317394422,4,contango
2016-01-04,0.051784637826635574,4,contango
2016-01-05,0.05271911912561042,4,contango
2016-01-06,0.05405006051481161,4,contango
2016-01-07,0.0456431999014628,3,contango
2016-01-08,0.05768326167633409,3,contango
2016-01-11,0.06652645624978228,4,contango
2016-01-12,0.06460070569753187,4,contango
2016-01-13,0.054832262253656734,4,contango
2016-01-14,0.06806890710020747,4,contango
2016-01-15,0.06465213898622635,3,contango
2016-01-18,0.06029097342206824,3,contango
2016-01-19,0.056373914177457726,2,contango
2016-01-20,0.052222327662921376,2,contango
2016-01-21,0.050896667754452535,2,contango
2016-01-22,0.05246208380645133,2,contango
2016-01-25,0.04919967443525698,2,contango
2016-01-26,0.0574967834491441,2,contango
2016-01-27,0.05277978756498362,2,contango
2016-01-28,0.04800282632811127,2,contango
2016-01-29,0.050797530811425774,2,contango
2016-02-01,0.05550877600904127,2,contango
2016-02-02,0.04584321101151322,2,contango
2016-02-03,0.04971595731028303,2,contango
2016-02-04,0.05146749150597982,2,contango
2016-02-05,0.048451809557364424,2,contango
2016-02-15,0.03863111150840142,2,contango
2016-02-16,0.04866130608967975,2,contango
2016-02-17,0.04294447474274412,2,contango
2016-02-18,0.04380107121965599,2,contango
2016-02-19,0.04632291534781326,2,contango
2016-02-22,0.04474268750294524,2,contango
2016-02-23,0.040878080280186836,2,contango
2016-02-24,0.04728111337218384,2,contango
2016-02-25,0.051849886301661596,2,contango
2016-02-26,0.04248646974033584,2,contango
2016-02-29,0.03793427899248973,2,contango
2016-03-01,0.04116042009948425,2,contango
2016-03-02,0.04268738467291776,2,contango
2016-03-03,0.048000262087832854,2,contango
2016-03-04,0.03941109418900115,3,contango
2016-03-07,0.03708824125388625,3,contango
2016-03-08,0.036239674057896624,3,contango
2016-03-09,0.041015883108818395,3,contango
2016-03-10,0.0486791640305039,3,contango
2016-03-11,0.04913634762374215,3,contango
2016-03-14,0.045634005808011996,3,contango
2016-03-15,0.04659810344454984,2,contango
2016-03-16,0.03671900598974108,2,contango
2016-03-17,0.04483832714081148,2,contango
2016-03-18,0.04856651090385708,2,contango
2016-03-21,0.04846093278723817,2,contango
2016-03-22,0.049874816988143555,2,contango
2016-03-23,0.05546109663401652,2,contango
2016-03-24,0.04427376845202638,2,contango
2016-03-25,0.04447655850259506,2,contango
2016-03-28,0.040431982426271676,2,contango
2016-03-29,0.04327884797235019,2,contango
2016-03-30,0.03999720163561907,2,contango
2016-03-31,0.045015389918822216,2,contango
2016-04-01,0.046266439170040516,2,contango
2016-04-05,0.04537335817070451,2,contango
2016-04-06,0.04967999188254127,3,contango
2016-04-07,0.045864892257788385,3,contango
2016-04-08,0.048100989945721186,3,contango
2016-04-11,0.04919941388081628,3,contango
2016-04-12,0.05194707554519774,2,contango
2016-04-13,0.05184279494381349,2,contango
2016-04-14,0.05942552819928566,2,contango
2016-04-15,0.04948844389036185,3,contango
2016-04-18,0.05176257866508791,3,contango
2016-04-19,0.04212241791410935,3,contango
2016-04-20,0.03529011847217452,3,contango
2016-04-21,0.03280093926832112,3,contango
2016-04-22,0.04234595415592836,3,contango
2016-04-25,0.038783283435888126,3,contango
2016-04-26,0.03972423309912471,3,contango
2016-04-27,0.0400980430961267,3,contango
2016-04-28,0.05240508684913801,2,contango
2016-04-29,0.06457894061330526,2,contango
2016-05-03,0.031910151903605424,3,contango
2016-05-04,0.030997729571006324,3,contango
2016-05-05,0.03680763331286984,3,contango
2016-05-06,0.04510649954210504,3,contango
2016-05-09,0.04245264460390075,3,contango
2016-05-10,0.04120874942713131,3,contango
2016-05-11,0.03883908967325198,3,contango
2016-05-12,0.039807002809959635,3,contango
2016-05-13,0.03969035457471412,3,contango
2016-05-16,0.046103534911047524,2,contango
2016-05-17,0.040117355618746554,2,contango
2016-05-18,0.04866991973646272,2,contango
2016-05-19,0.040897938225286125,2,contango
2016-05-20,0.04061304124278959,2,contango
2016-05-23,0.0452462663392646,2,contango
2016-05-24,0.04417963203423602,2,contango
2016-05-25,0.04669962013005377,2,contango
2016-05-26,0.045237307653585246,2,contango
2016-05-27,0.040360801898524125,2,contango
2016-05-30,0.04990838789021518,2,contango
2016-05-31,0.045255312436449924,2,contango
2016-06-01,0.04723374261185327,2,contango
2016-06-02,0.048853544305094684,2,contango
2016-06-03,0.04961804448085522,2,contango
2016-06-06,0.05023981682948009,2,contango
2016-06-07,0.04837165204183781,3,contango
2016-06-08,0.05223499168920552,3,contango
2016-06-13,0.047257892498537304,3,contango
2016-06-14,0.048690375911719624,3,contango
2016-06-15,0.04544067265797564,2,contango
2016-06-16,0.04632685621065182,2,contango
2016-06-17,0.047012251054294754,2,contango
2016-06-20,0.05137651568216099,2,contango
2016-06-21,0.051481817714948544,2,contango
2016-06-22,0.052449882319235815,2,contango
2016-06-23,0.050764871170064625,3,contango
2016-06-24,0.05630977648843319,3,contango
2016-06-27,0.05619307888738732,3,contango
2016-06-28,0.0540566471998152,3,contango
2016-06-29,0.05119414486110595,3,contango
2016-06-30,0.05580667369764633,3,contango
2016-07-01,0.0542934327969966,3,contango
2016-07-04,0.058005001503821436,3,contango
2016-07-05,0.04964276437282601,3,contango
2016-07-06,0.04683967752621169,3,contango
2016-07-07,0.05391360073615353,3,contango
2016-07-08,0.05137055551325292,3,contango
2016-07-11,0.0561144956824897,3,contango
2016-07-12,0.060609526453352325,3,contango
2016-07-13,0.05635280638747065,3,contango
2016-07-14,0.05636270048759173,3,contango
2016-07-15,0.05742971386327902,2,contango
2016-07-18,0.06087272475266708,2,contango
2016-07-19,0.0559667021338449,2,contango
2016-07-20,0.05370471470061684,2,contango
2016-07-21,0.051866349186659326,2,contango
2016-07-22,0.04930959771248594,2,contango
2016-07-25,0.05288626542754415,2,contango
2016-07-26,0.054171881365394435,2,contango
2016-07-27,0.05422216930165665,2,contango
2016-07-28,0.05666430644597651,2,contango
2016-07-29,0.053575034932306975,2,contango
2016-08-01,0.053510985043630346,2,contango
2016-08-02,0.06278916232026609,2,contango
2016-08-03,0.05852963951517281,2,contango
2016-08-04,0.05673279050208167,2,contango
