trade_date,dominant_code,close,skew_factor,upside_skew,downside_skew,ret_5min_mean,ret_5min_std,bar_count
2025-10-17,NI2512.SHF,121330,-0.2410488093179225,1.0403891002581906,-1.255727401457394,-1.831950367823084e-05,0.0002821657030971,225
2025-10-20,NI2512.SHF,120860,0.12838624574909,2.046734744462305,-1.5114689273184192,3.72616877473479e-06,0.0002484658883731,225
2025-10-21,NI2512.SHF,121380,-0.483204437429397,1.4795678394162737,-3.9648757974061586,-3.6468038999357137e-06,0.0002433698844799,225
2025-10-22,NI2512.SHF,121380,-0.9682757107500566,0.9199719206001136,-2.7697353750892812,8.123184956320853e-06,0.0002206140506862,225
2025-10-23,NI2512.SHF,121380,0.4805976666477091,1.3607325392706215,-0.95698874818239,5.905588531365505e-06,0.0001843015222272,225
2025-10-24,NI2512.SHF,122150,-0.2846026453779582,1.6007368585101207,-2.092819011353049,7.741154978062723e-07,0.0002936038215644,225
2025-10-27,NI2512.SHF,122400,-0.3930439202058166,0.9292170906272764,-1.1779808286723297,-1.79870323337756e-06,0.0002216636252913,225
2025-10-28,NI2512.SHF,120560,-2.3085226079335235,2.3738462040922523,-4.482115007533147,-2.5062248002488884e-05,0.0003058725912154,225
2025-10-29,NI2512.SHF,121540,4.865732166264372,7.300387247122919,-4.249170071574809,2.6595263981553175e-05,0.0003742580061651,225
2025-10-30,NI2512.SHF,120980,-2.3183977743745374,0.950888764325975,-4.829267855520957,-1.506390042129128e-05,0.0002821625182072,225
2025-10-31,NI2512.SHF,120590,-0.63706831025179,0.9788485546430298,-3.3546923229640564,-4.0378777164277025e-06,0.0002549282988461,225
2025-11-03,NI2512.SHF,120950,0.1099167433472568,1.944748540147574,-1.5783269477502428,5.206144925296625e-06,0.000267263610201,225
2025-11-04,NI2512.SHF,119700,0.1277233198884037,3.2060804750266754,-2.4351039405451815,-2.8195343625902737e-05,0.0003444544585639,225
2025-11-05,NI2512.SHF,120030,-1.202730387089806,2.1973557186952877,-4.8456730846647575,7.149599386474922e-06,0.0003931051117437,225
2025-11-06,NI2512.SHF,119750,-0.0841377117749479,1.18969243193935,-1.8158234469304193,1.4982949068451498e-05,0.0003028447567158,225
2025-11-07,NI2512.SHF,119440,0.2218024175905729,1.232120431258353,-1.069244012304088,-4.451899841981244e-06,0.0002492236895246,225
2025-11-10,NI2512.SHF,119680,0.3771294556751653,2.763089789944441,-2.0894011021232455,1.2742533937326011e-05,0.0002890594380666,225
