period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.03637385918894795,0.6920383386130805,0.05307440000708639,0.06149010733437564,0.8631372152023468,0.8064516129032258,121
3D,0.11571001281868681,0.21015559601120853,0.03697788742668933,0.06279199058395378,0.5888949702470313,0.75,119
5D,0.09255346251255075,0.32095251763116656,0.042401086012187644,0.05050028721704868,0.8396206902734846,0.7931034482758621,117
10D,-0.038738169269142725,0.6850958046461519,0.02927633568229775,0.071732161835261,0.40813402152208017,0.8490566037735849,112
20D,0.12551243702325687,0.20876522202038925,0.13192383685460335,0.035791817237456995,3.685865849709969,1.0,102
