group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-1.3664330903863935,-3.9994710712802055,-0.6169864897853907,0.009448082889168749,0.027415579385001294,25
2,-0.3606585478667986,-0.6132492185461251,-0.2218847932317852,0.0003781973979277338,0.022041585650851146,24
3,-0.0025734082176598755,-0.2164084028232848,0.1269791948738966,0.007950788807375963,0.02259450790709467,25
4,0.27814428288603216,0.1505472392113698,0.4266601974007771,-0.00048810105691543537,0.020397326831980766,24
5,0.9596513789789277,0.4393609986497017,2.1533626847890317,0.0063963322653318635,0.018865817950525072,25
