品种,代码,历史最新日期,展期收益率,动量趋势,动量信号,MACD趋势,MACD持仓,虚实盘比,虚实盘信号,虚实盘解读,持仓联动,持仓联动信号,持仓联动解读,实时展期信号,实时展期均值
沪镍,NI,2026-04-16,+2.81%,sideways,+0,strong_uptrend,+1,0.586,bullish,低虚实盘比且增仓，偏向主力沉淀建仓,多头增仓,long_buildup,价格上涨且增仓，偏向多头增仓、资金流入,contango,+2.76%
不锈钢,SS,2026-04-16,-0.38%,uptrend,+1,strong_uptrend,+1,0.522,bullish,低虚实盘比且增仓，偏向主力沉淀建仓,多头增仓,long_buildup,价格上涨且增仓，偏向多头增仓、资金流入,contango,+3.31%
沪铜,CU,2026-04-16,-0.27%,sideways,+0,uptrend,+1,0.130,bullish,低虚实盘比且增仓，偏向主力沉淀建仓,震荡观望,neutral,价格与持仓变化均不显著，资金方向暂不明确,backwardation,-0.59%
