group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-1.3510967612937728,-4.798703565533951,-0.6276057513489831,0.003072538389951038,0.020329894708010283,25
2,-0.3924705406071393,-0.5866658409300791,-0.2409420502654258,0.0010978360060256247,0.04084764582896616,24
3,-0.07901818345357169,-0.2296194950207821,0.0578860537572504,-0.005558504020867283,0.017015058916825247,25
4,0.20538673576764643,0.0797704916489385,0.3422526819652033,0.009543978226391664,0.024545366704959905,24
5,1.0394945551585868,0.3453827268786541,4.865732166264372,0.013088892918699356,0.038245879655616086,25
