trade_date,dominant_code,close,skew_factor,upside_skew,downside_skew,ret_5min_mean,ret_5min_std,bar_count
2025-10-17,CU2512.SHF,84390.0,-0.3999774019250126,2.015923609797075,-1.8294899347497011,-3.731078633677022e-05,0.0004262430544817,225
2025-10-20,CU2512.SHF,85380.0,0.4266601974007771,1.765000058765768,-1.8303057832240457,1.8474994756571728e-05,0.0005228726613375,225
2025-10-21,CU2512.SHF,85400.0,-1.9285405371249016,2.6699211400422613,-6.036156950438403,-1.609782244823168e-05,0.0003947582429829,225
2025-10-22,CU2512.SHF,85420.0,0.3111117236514186,2.2736942374622133,-1.7318071775367296,2.8885292360260823e-05,0.0003079584243303,225
2025-10-23,CU2512.SHF,86070.0,0.4148413015955624,2.05541475823808,-1.548591908160293,3.4944593415281245e-05,0.0003358936477262,225
2025-10-24,CU2512.SHF,87720.0,-0.1381978166109142,0.9746056082352156,-2.237037437648822,5.1827593387216666e-05,0.0005033418285624,225
2025-10-27,CU2512.SHF,88370.0,-0.51664536814517,1.6380429019205285,-2.540990133855238,-3.625764142494476e-07,0.0005339468782453,225
2025-10-28,CU2512.SHF,86980.0,-2.1727676953540036,1.3653374815952335,-4.235814792520167,-5.587514776645074e-05,0.0006737882921214,225
2025-10-29,CU2512.SHF,88710.0,0.389707867809034,2.064815024587113,-1.3613124729301864,2.9384881979833766e-05,0.0004481645769586,225
2025-10-30,CU2512.SHF,87960.0,-1.7698945883205934,1.2854666969262267,-3.796810417961399,-3.617209245557642e-05,0.0006646781656662,225
2025-10-31,CU2512.SHF,87010.0,-0.6132492185461251,0.7495086565898806,-1.768528164780939,-1.4755251353535928e-05,0.0004452414438597,225
2025-11-03,CU2512.SHF,87300.0,0.6249821009121144,2.3639705910558053,-2.600157141255165,1.6492211893516517e-05,0.0004429415806067,225
2025-11-04,CU2512.SHF,85740.0,-1.1172263240164595,1.2246997785070002,-2.6296339332787633,-5.2180042065203885e-05,0.0004463493910006,225
2025-11-05,CU2512.SHF,85670.0,1.4404146637403377,3.965682093022521,-1.2613284992903293,2.04676605053302e-05,0.000442937596802,225
2025-11-06,CU2512.SHF,86320.0,0.7962812280609899,2.7574557823528476,-1.2539722191602758,2.131356242234876e-05,0.0003420753210778,225
2025-11-07,CU2512.SHF,85940.0,1.5799848323822698,4.46993880502632,-1.5386094635043148,2.6533870090862666e-06,0.0003326266007771,225
2025-11-10,CU2512.SHF,86480.0,0.3954101221253255,2.0546519978899815,-2.1435431876706317,1.4538538641016664e-05,0.0003486576821782,225
2025-11-11,CU2512.SHF,86630.0,-0.2218847932317852,1.3940770450774862,-1.799555845913361,-1.0761580918565736e-05,0.0003070787212959,225
2025-11-12,CU2512.SHF,86840.0,-0.996537769626768,2.2924653468888874,-4.371203663078677,2.096699512354333e-06,0.000282451187955,225
2025-11-13,CU2512.SHF,87550.0,0.3112516157856228,2.7135260912087693,-0.8412588827296014,1.999503776928951e-05,0.0003572795905498,225
2025-11-14,CU2512.SHF,86900.0,-0.0107918828738185,2.5665313351881873,-2.4217447138766715,5.207030874554529e-06,0.0003654911555642,225
2025-11-17,CU2512.SHF,86450.0,0.195841622923919,1.2069079584599265,-1.1803768589836197,-3.0532396945309737e-06,0.0002969434860328,225
2025-11-18,CU2601.SHF,85660.0,-1.2401551584072306,1.6058339295035668,-3.772998177061238,-2.2816634889411785e-05,0.0003334173048584,225
2025-11-19,CU2601.SHF,86110.0,0.3463279864864392,2.120427932662222,-1.656039593487505,1.4583510422395874e-05,0.0002947529355882,225
