period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.004563410383964534,0.8137406112336356,-0.11964404010549697,0.12731174371354192,-0.9397722206578389,0.1548486009965504,2668
3D,-0.028597830021569643,0.1398874160241835,-0.21045708558775408,0.20170749779238079,-1.0433776031686206,0.14154200230149597,2666
5D,-0.039915276309523254,0.03939479458764291,-0.258712229030908,0.23429107785448472,-1.1042342346113196,0.13666026871401152,2664
10D,-0.01471616769537337,0.4481333461813348,-0.3111706167380575,0.27952153747984737,-1.1132259057515093,0.12538461538461537,2659
20D,0.054764887058863385,0.004810621631900267,-0.30917698150291073,0.3355043236024583,-0.9215290526904117,0.1664092664092664,2649
