group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-1.177292818891576,-3.4499999999999997,-0.6459730963019612,-9.509381114201833e-05,0.02884319836757549,531
2,-0.3938695242152497,-0.6433027627563989,-0.17716596374083834,-5.864055961666365e-05,0.027621676081847946,530
3,0.0074748128941971815,-0.17647787724293626,0.19813500750725754,0.0003138264562690666,0.027880275551713785,530
4,0.45273843531662417,0.19816385196157502,0.7585991573241777,0.0010295837402378154,0.032227911192599726,530
5,1.3988282568345547,0.7589944862778166,2.942379141871662,0.002872247200016627,0.044285859430007624,531
