period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,0.028338985398172995,0.14441529878829829,0.021756170236100898,0.1271820500598867,0.17106321391938947,0.5645472061657033,2654
3D,0.0351996875383926,0.06992356293220178,0.02058795080529127,0.18476034680582873,0.11143057025611607,0.5599691477053605,2652
5D,0.04904810994673575,0.01156210735341831,0.03169213476594681,0.229170575031442,0.13829059320376832,0.5812427634118101,2650
10D,0.04459372052731322,0.021819672495982056,0.021388108405719565,0.288068540155792,0.07424659559892427,0.5317092034029389,2645
20D,0.05594203798815271,0.004072152556476011,-0.00010769116315177487,0.32814205656618645,-0.0003281845804183089,0.47593167701863354,2635
