trade_date,factor_value,close,signal,period_forward_ret,strategy_period_ret,benchmark_period_ret,strategy_nav,benchmark_nav,holding_period
2015-04-01,,92500,0,0.042378378378378434,0.0,0.042378378378378434,1.0,1.0423783783783784,3
2015-04-07,,96420,0,-0.01949802945446999,-0.0,-0.01949802945446999,1.0,1.0220540540540541,3
2015-04-10,,94540,0,0.002009731330653741,0.0,0.002009731330653741,1.0,1.0241081081081083,3
2015-04-15,,94730,0,0.007178296210281765,0.0,0.007178296210281765,1.0,1.0314594594594595,3
2015-04-20,,95410,0,0.004716486741431769,0.0,0.004716486741431769,1.0,1.0363243243243243,3
2015-04-23,,95860,0,0.07083246401001464,0.0,0.07083246401001464,1.0,1.1097297297297297,3
2015-04-28,,102650,0,0.048027277155382464,0.0,0.048027277155382464,1.0,1.163027027027027,3
2015-05-04,,107580,0,0.04573340769659784,0.0,0.04573340769659784,1.0,1.2162162162162162,3
2015-05-07,,112500,0,-0.008000000000000007,-0.0,-0.008000000000000007,1.0,1.2064864864864866,3
2015-05-12,,111600,0,-0.012455197132616447,-0.0,-0.012455197132616447,1.0,1.1914594594594596,3
2015-05-15,0.20503889952046322,110210,0,-0.07140912802830957,-0.0,-0.07140912802830957,1.0,1.1063783783783785,3
2015-05-20,0.39931126807022466,102340,0,-0.02794606214578854,-0.0,-0.02794606214578854,1.0,1.0754594594594595,3
2015-05-25,-0.7911692067027868,99480,0,-0.00010052271813432156,-0.0,-0.00010052271813432156,1.0,1.0753513513513513,3
2015-05-28,0.031056702921566277,99470,0,0.008143158741328982,0.0,0.008143158741328982,1.0,1.084108108108108,3
2015-06-02,-0.4908799412485694,100280,0,-0.01884722776226566,-0.0,-0.01884722776226566,1.0,1.0636756756756756,3
2015-06-05,-0.35684773830723077,98390,0,0.02988108547616619,0.0,0.02988108547616619,1.0,1.0954594594594593,3
2015-06-10,-0.4284868139725153,101330,0,-0.037007796309089125,-0.0,-0.037007796309089125,1.0,1.0549189189189188,3
2015-06-15,-0.34503006328886066,97580,0,-0.013117442098790733,-0.0,-0.013117442098790733,1.0,1.0410810810810809,3
2015-06-18,-0.35295613611740334,96300,0,0.0009345794392523477,0.0,0.0009345794392523477,1.0,1.042054054054054,3
2015-06-24,-0.4251824789429812,96390,0,-0.06255835667600373,-0.0,-0.06255835667600373,1.0,0.9768648648648648,3
2015-06-29,-0.6550878254921308,90360,0,-0.01007082779991142,-0.0,-0.01007082779991142,1.0,0.967027027027027,3
