product,product_name,strategy_total_return,buy_hold_total_return,excess_return,strategy_annualized_return,strategy_sharpe,strategy_max_drawdown,trades,exposure
CU,沪铜,0.09508569294629887,1.0866710439921201,-0.9915853510458212,0.017446999995903045,0.2951942684297547,-0.09304359448872457,5.0,-0.02794819359236537
SS,不锈钢,-0.0072716400861688735,-0.057570715474210776,0.0502990753880419,-0.0007998184525426222,-0.028164120092248304,-0.06642230862135967,7.0,-0.03529411764705882
NI,沪镍,-0.0875887041864647,0.27138949155739844,-0.35897819574386314,-0.007629410929399505,-0.15308629172062144,-0.1569384621803236,14.0,-0.037037037037037035
