period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,-0.0030528501083115045,0.9053042361994378,-0.04016821386372746,0.10862841882217476,-0.36977629150142577,0.38235294117647056,1521
3D,0.020329444332194777,0.4285027007054998,-0.05133253353296401,0.16571105634492037,-0.3097713252525382,0.38972602739726026,1519
5D,0.031420733060367856,0.22129592952986069,-0.05103856367876352,0.1960650676195943,-0.2603144165272144,0.39574759945130317,1517
10D,0.0515281668901492,0.04514317410091937,-0.05981609928167993,0.25958252629625583,-0.23043191749129188,0.3606331727460427,1512
20D,0.10002748751587077,0.00010311422565898342,-0.01859597154042943,0.327252662622951,-0.05682450798530264,0.42411642411642414,1502
