trade_date,factor_value,close,signal,period_forward_ret,strategy_period_ret,benchmark_period_ret,strategy_nav,benchmark_nav,holding_period
2020-01-02,0.3237921179706328,49350,1,-0.006889564336372889,-0.006889564336372889,-0.006889564336372889,0.9931104356636271,0.9931104356636271,3
2020-01-07,0.4831077114052304,49010,0,0.0,0.0,0.0,0.9931104356636271,0.9931104356636271,3
2020-01-10,0.35867860726097134,49010,1,0.005100999795959904,0.005100999795959904,0.005100999795959904,0.9981762917933129,0.9981762917933129,3
2020-01-15,0.554529016217438,49260,0,-0.0032480714575721104,-0.0,-0.0032480714575721104,0.9981762917933129,0.9949341438703139,3
2020-01-20,0.476491314204849,49100,0,-0.021995926680244415,-0.0,-0.021995926680244415,0.9981762917933129,0.9730496453900707,3
2020-01-23,0.5070820295135409,48020,0,-0.051436901291128656,-0.0,-0.051436901291128656,0.9981762917933129,0.9229989868287739,3
2020-02-05,0.4198902187294623,45550,0,-0.0030735455543359214,-0.0,-0.0030735455543359214,0.9981762917933129,0.9201621073961498,3
2020-02-10,0.3219846338979913,45410,1,0.006606474344857949,0.006606474344857949,0.006606474344857949,1.004770717856691,0.9262411347517728,3
2020-02-13,0.3215304329398052,45710,1,0.012251148545176171,0.012251148545176171,0.012251148545176171,1.0170803131749966,0.9375886524822693,3
2020-02-18,0.3949606441690039,46270,0,-0.006051437216338829,-0.0,-0.006051437216338829,1.0170803131749966,0.9319148936170212,3
2020-02-21,0.5365151097005657,45990,0,-0.007827788649706457,-0.0,-0.007827788649706457,1.0170803131749966,0.9246200607902735,3
2020-02-26,0.4513110296339243,45630,0,-0.008766162612316442,-0.0,-0.008766162612316442,1.0170803131749966,0.916514690982776,3
2020-03-02,0.6540165936180881,45230,0,0.0019898297590095204,0.0,0.0019898297590095204,1.0170803131749966,0.918338399189463,3
2020-03-05,0.25557026886982553,45320,1,-0.017210944395410377,-0.017210944395410377,-0.017210944395410377,0.9995754004592752,0.902532928064843,3
2020-03-10,0.3933558168121789,44540,0,-0.022900763358778664,-0.0,-0.022900763358778664,0.9995754004592752,0.8818642350557244,3
2020-03-13,0.620070214192734,43520,0,-0.08180147058823528,-0.0,-0.08180147058823528,0.9995754004592752,0.8097264437689969,3
2020-03-18,0.9428844023641847,39960,0,-0.06906906906906907,-0.0,-0.06906906906906907,0.9995754004592752,0.7537993920972644,3
2020-03-23,1.8780547653885653,37200,-1,0.0448924731182796,-0.0448924731182796,0.0448924731182796,0.9547019886644637,0.7876393110435663,3
2020-03-26,0.8844098945057736,38870,0,0.007203498842294875,0.0,0.007203498842294875,0.9547019886644637,0.7933130699088146,3
2020-03-31,0.6811820437626889,39150,0,0.01992337164750957,0.0,0.01992337164750957,0.9547019886644637,0.8091185410334346,3
