trade_date,dominant_code,close,oi,vol,virtual_real_ratio,oi_change,vol_change,oi_change_pct,vol_change_pct,ratio_zscore,signal,signal_text
2015-04-01,NI1507.SHF,92500,70960,158952,2.240022547914318,,,,,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-02,NI1507.SHF,96160,80724,202848,2.512858629403895,9764.0,43896.0,0.13759864712514092,0.27615884040465044,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-03,NI1507.SHF,97300,80998,150282,1.8553791451640782,274.0,-52566.0,0.003394281750161099,-0.2591398485565547,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-07,NI1507.SHF,96420,83542,75688,0.9059874075315411,2544.0,-74594.0,0.03140818291809677,-0.4963601762020734,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-08,NI1507.SHF,93950,95102,183088,1.9251750751824357,11560.0,107400.0,0.13837351272413878,1.4189831941655218,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-09,NI1507.SHF,94300,99084,160974,1.6246215332445197,3982.0,-22114.0,0.04187083342095854,-0.12078344839639954,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-10,NI1507.SHF,94540,105628,137722,1.303839890938009,6544.0,-23252.0,0.06604497194299785,-0.14444568688111126,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-13,NI1507.SHF,95230,112858,180214,1.596820783639618,7230.0,42492.0,0.06844776006361952,0.30853458416229795,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-14,NI1507.SHF,93100,127690,199150,1.5596366199389144,14832.0,18936.0,0.13142178666997473,0.10507507740797051,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-15,NI1507.SHF,94730,132258,220106,1.6642169093741022,4568.0,20956.0,0.03577414049651506,0.105227215666583,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-16,NI1507.SHF,95400,131624,195920,1.4884823436455357,-634.0,-24186.0,-0.0047936608749564735,-0.10988341980682037,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-17,NI1507.SHF,95850,127284,168702,1.3253983218629206,-4340.0,-27218.0,-0.03297271014404668,-0.13892405063291136,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-20,NI1507.SHF,95410,116410,148104,1.272261833175844,-10874.0,-20598.0,-0.08543100468244236,-0.1220969520219084,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-21,NI1507.SHF,95880,110552,140930,1.2747847166944062,-5858.0,-7174.0,-0.050322137273430156,-0.04843893480257122,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-22,NI1507.SHF,96330,110516,123902,1.1211227333598754,-36.0,-17028.0,-0.00032563861350309864,-0.12082594195699992,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-23,NI1507.SHF,95860,110646,101066,0.9134175659309871,130.0,-22836.0,0.0011763002642151132,-0.1843069522687285,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-24,NI1507.SHF,97830,113816,118180,1.0383425880368313,3170.0,17114.0,0.028649928601124364,0.16933489007183433,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-27,NI1507.SHF,101490,116290,241904,2.0801788631868603,2474.0,123724.0,0.021736838405848058,1.0469114909460147,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-28,NI1507.SHF,102650,111958,285722,2.55204630307794,-4332.0,43818.0,-0.03725169834035602,0.181137972088101,,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-04-29,NI1507.SHF,101020,111334,317634,2.8529829162699625,-624.0,31912.0,-0.005573518640918929,0.11168898439742136,2.1396523345659495,active,虚实盘比显著抬升，短线博弈活跃
2015-04-30,NI1507.SHF,106010,125970,552750,4.387949511788521,14636.0,235116.0,0.1314602906569422,0.7402104308732693,3.2200484843432413,active,虚实盘比显著抬升，短线博弈活跃
2015-05-04,NI1507.SHF,107580,128702,278844,2.1665863778340664,2732.0,-273906.0,0.021687703421449545,-0.49553324287652645,0.45877683630038407,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-05,NI1507.SHF,107960,133626,518266,3.8784817325969496,4924.0,239422.0,0.03825892371524908,0.8586234597122406,2.2374058711200537,active,虚实盘比显著抬升，短线博弈活跃
2015-05-06,NI1507.SHF,113380,134182,609024,4.538790597844718,556.0,90758.0,0.004160866897160664,0.17511856845712437,2.4804638496487565,active,虚实盘比显著抬升，短线博弈活跃
2015-05-07,NI1507.SHF,112500,123678,969052,7.835281941816653,-10504.0,360028.0,-0.07828173674561412,0.5911556851618327,3.6430548248773764,active,虚实盘比显著抬升，短线博弈活跃
2015-05-08,NI1507.SHF,112300,118556,878416,7.409291811464624,-5122.0,-90636.0,-0.041413994404825405,-0.09353058453003549,2.739442448114214,active,虚实盘比显著抬升，短线博弈活跃
2015-05-11,NI1507.SHF,113880,128054,728054,5.685523294859981,9498.0,-150362.0,0.08011403893518665,-0.17117402233110512,1.6584957863181813,active,虚实盘比显著抬升，短线博弈活跃
2015-05-12,NI1507.SHF,111600,126536,871696,6.888916988050831,-1518.0,143642.0,-0.011854373935995755,0.19729580498149857,2.0636212337748208,active,虚实盘比显著抬升，短线博弈活跃
2015-05-13,NI1507.SHF,111750,123868,752614,6.075935673458844,-2668.0,-119082.0,-0.02108490864259971,-0.13660955195389213,1.559034149208112,active,虚实盘比显著抬升，短线博弈活跃
2015-05-14,NI1507.SHF,109400,121384,760542,6.26558689777895,-2484.0,7928.0,-0.020053605450963907,0.010533952331474028,1.551963256894119,bearish,高虚实盘比且减仓，偏向短线资金离场
2015-05-15,NI1507.SHF,110210,130696,609290,4.6618871273795675,9312.0,-151252.0,0.07671521782112967,-0.1988739609383834,0.7822601089604729,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-18,NI1507.SHF,108610,121292,544094,4.485819345051611,-9404.0,-65196.0,-0.07195323498806394,-0.10700323327151273,0.683503775276057,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-19,NI1507.SHF,106430,116362,467078,4.014008009487633,-4930.0,-77016.0,-0.04064571447416154,-0.14154907056501265,0.4516443965188531,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-20,NI1507.SHF,102340,107676,318956,2.9621828448307888,-8686.0,-148122.0,-0.07464636221446863,-0.3171247628875691,-0.052303454173896625,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-21,NI1507.SHF,101070,106184,480198,4.522319746854516,-1492.0,161242.0,-0.013856383966714958,0.5055305433978354,0.692917974873352,bearish,高虚实盘比且减仓，偏向短线资金离场
2015-05-22,NI1507.SHF,100070,109808,741862,6.755992277429695,3624.0,261664.0,0.03412943569652671,0.5449085585529303,1.68962878062557,active,虚实盘比显著抬升，短线博弈活跃
2015-05-25,NI1507.SHF,99480,114898,610232,5.311075910807847,5090.0,-131630.0,0.04635363543639803,-0.17743192130072705,0.9739991942730329,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-26,NI1507.SHF,100010,115194,550278,4.77696755039325,296.0,-59954.0,0.0025761980191125744,-0.09824787949501168,0.7050644499034339,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-05-27,NI1509.SHF,98110,121918,86754,0.7115766334749586,6724.0,-463524.0,0.05837109571679089,-0.8423451419100891,-1.2069918066774088,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2015-05-28,NI1509.SHF,99470,144198,211690,1.468050874492018,22280.0,124936.0,0.1827457799504586,1.4401180349032896,-0.8282308047724058,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2015-05-29,NI1509.SHF,97600,144488,196314,1.3586872266208958,290.0,-15376.0,0.002011123593947284,-0.07263451273088006,-0.8617460256232247,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2015-06-01,NI1509.SHF,96810,156872,171826,1.0953261257585802,12384.0,-24488.0,0.08570953989258623,-0.124738938639119,-0.9652566882157815,bullish,低虚实盘比且增仓，偏向主力沉淀建仓
2015-06-02,NI1509.SHF,100280,179364,428588,2.3894872995695904,22492.0,256762.0,0.1433780406955989,1.494314015341101,-0.3389291819715244,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-03,NI1509.SHF,99060,191776,409252,2.1340105122643083,12412.0,-19336.0,0.0692000624428537,-0.045115588863897216,-0.45671161166974955,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-04,NI1509.SHF,98530,193186,373158,1.9315995983145777,1410.0,-36094.0,0.007352327715668183,-0.08819504852755755,-0.547949409871976,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-05,NI1509.SHF,98390,203496,349670,1.7183138734913708,10310.0,-23488.0,0.05336825649891819,-0.06294384684235632,-0.6433229119443094,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-08,NI1509.SHF,100570,217446,493720,2.270540731951841,13950.0,144050.0,0.0685517160042457,0.4119598478565505,-0.36424938342819113,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-09,NI1509.SHF,100910,214594,602556,2.807888384577388,-2852.0,108836.0,-0.013115900039550099,0.22044073563963384,-0.093439990514448,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-10,NI1509.SHF,101330,210380,398440,1.8939062648540737,-4214.0,-204116.0,-0.01963708211785975,-0.33875025723750163,-0.5499468426582703,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-11,NI1509.SHF,101500,201518,323762,1.606615786182872,-8862.0,-74678.0,-0.04212377602433692,-0.18742596124887057,-0.6865714361468958,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-12,NI1509.SHF,98070,199864,485268,2.427991033903054,-1654.0,161506.0,-0.008207703530205723,0.498841741773278,-0.2616384705247272,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-15,NI1509.SHF,97580,206642,314750,1.5231656681603933,6778.0,-170518.0,0.03391306088139934,-0.35138933537756456,-0.7204323205563035,neutral,虚实盘比平稳，短线与持仓结构均衡
2015-06-16,NI1509.SHF,95700,213938,386062,1.8045508511811834,7296.0,71312.0,0.03530743992024865,0.22656711675933283,-0.5666198311640868,neutral,虚实盘比平稳，短线与持仓结构均衡
