trade_date,factor_value,close,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
2019-09-25,0.0,15575,0.008346709470304914,0.008025682182985605,0.006420545746388395,-0.005457463884430136,-0.03274478330658104
2019-09-26,-0.848268086493692,15705,0.0012734797835083356,-0.0019102196752626144,0.0038204393505252288,-0.03342884431709647,-0.045845272206303744
2019-09-27,-1.7757823438419096,15725,-0.0015898251192368873,-0.0031796502384737746,0.0012718600953895987,-0.04483306836248013,-0.04610492845786962
2019-09-30,-0.8421054946531337,15700,-0.0015923566878981443,0.0041401273885350864,0.0041401273885350864,-0.05414012738853502,-0.04617834394904463
2019-10-08,0.0005260561504916161,15675,0.0,0.004465709728867617,-0.014992025518341334,-0.04976076555023923,-0.04880382775119618
2019-10-09,-0.07800739017380542,15675,0.00574162679425827,0.00574162679425827,-0.01180223285486448,-0.044657097288676284,-0.04752791068580542
2019-10-10,0.5994852334598244,15765,-0.0012686330478909325,-0.020615287028227125,-0.0371075166508088,-0.0482080558198541,-0.05359974627339037
2019-10-11,-0.42613654636272424,15745,0.0012702445220704739,-0.016195617656398875,-0.04604636392505557,-0.0498570974912671,-0.061289298189901587
2019-10-14,0.09459134927420454,15765,-0.020615287028227125,-0.0371075166508088,-0.05803996194100858,-0.0482080558198541,-0.0986362194735173
2019-10-15,-0.20886032933195353,15440,0.0032383419689119286,-0.02720207253886009,-0.03529792746113991,-0.026878238341968896,-0.06832901554404147
2019-10-16,0.5530333858367156,15490,-0.020012911555842505,-0.04131697869593287,-0.03324725629438352,-0.027437056165267926,-0.07295029051000645
2019-10-17,-1.6283754532059862,15180,-0.010540184453227908,-0.018774703557312256,-0.01152832674571802,-0.012845849802371578,-0.05335968379446643
2019-10-18,-1.2295778165489608,15020,-0.011318242343541951,-0.0029960053262316766,-0.003994673768308976,-0.0013315579227696217,-0.04294274300932088
2019-10-21,-1.2200602067110258,14850,0.003030303030302939,0.010437710437710468,0.010437710437710468,0.008417508417508435,-0.03703703703703709
2019-10-22,0.3573527691174738,14895,0.0053709298422288665,0.004363880496810912,0.008727760993622047,0.001007049345417954,-0.03457536085934876
2019-10-23,0.568774176363789,14975,0.002003338898163509,0.002003338898163509,0.00601001669449075,-0.003005008347245375,-0.03739565943238732
2019-10-24,-0.15678389981993668,15005,-0.0029990003332223125,0.0013328890369876945,-0.0013328890369876945,-0.00566477840719759,-0.0419860046651116
2019-10-25,0.04295117313836583,14960,0.0030080213903742603,0.007018716577540163,0.002673796791443861,-0.012032085561497374,-0.02874331550802134
2019-10-28,-0.3915502462691145,15005,0.0013328890369876945,-0.0013328890369876945,-0.0019993335554815417,-0.052982339220259966,-0.03198933688770411
2019-10-29,-0.28907325570986964,15025,0.0026622296173044457,-0.0016638935108153063,-0.007653910149750365,-0.04259567387687191,-0.04359400998336105
2019-10-30,-0.07899822438523496,15065,-0.005310321938267526,-0.0059741121805509945,-0.00896116827082638,-0.04679721208098242,-0.056090275472950535
2019-10-31,0.10320634981290322,14985,0.0010010010010010895,-0.005005005005005003,-0.004337671004337684,-0.041041041041041004,-0.05839172505839174
2019-11-01,0.16391391391391563,15000,-0.0016666666666667052,-0.004666666666666708,-0.014666666666666717,-0.04166666666666663,-0.06633333333333336
2019-11-04,-0.05609981515711682,14975,-0.004340567612687862,-0.0036727879799666185,-0.05108514190317193,-0.04507512520868118,-0.06978297161936564
2019-11-05,0.04195866879456056,14910,0.0013413816230718467,-0.008718980549966449,-0.035211267605633756,-0.03554661301140172,-0.059691482226693515
2019-11-06,-0.19512396590863346,14930,-0.0006697923643670389,-0.04822505023442736,-0.03817816476892166,-0.03449430676490284,-0.07233757535164098
2019-11-07,-0.38630203288947396,14920,-0.009383378016085797,-0.03585790884718498,-0.03686327077747986,-0.03652815013404831,-0.06970509383378021
2019-11-08,-0.29828748507035097,14780,-0.03856562922868745,-0.02841677943166443,-0.02740189445196206,-0.01691474966170503,-0.05615696887686061
2019-11-11,0.4752849467452984,14210,0.012315270935960632,0.011259676284306908,0.006333567909922566,0.022167487684729092,-0.01935256861365231
2019-11-12,0.3071510554418877,14385,-0.001737921445950641,-0.0006951685783802564,-0.0003475842891901282,-0.0010427528675703845,-0.027806743135210255
2019-11-13,0.32671335557703407,14360,0.0006963788300835549,-0.004178272980501441,0.0038300835654596632,-0.00974930362116988,-0.011142061281337101
2019-11-14,-0.3099825368880571,14370,0.0003479471120388933,0.0006958942240780086,0.0003479471120388933,-0.018093249826026447,-0.009394572025052228
2019-11-15,-0.09177792652857786,14375,-0.00521739130434784,0.0027826086956521667,0.010782608695652174,-0.025739130434782598,-0.006956521739130417
2019-11-18,-1.740121529167891,14300,0.005594405594405494,0.005244755244755206,0.01573426573426584,-0.025874125874125853,-0.0031468531468531458
2019-11-19,0.4417958269530833,14380,0.002433936022253169,0.010431154381084884,-0.0006954102920723182,-0.025034770514603566,-0.0055632823365785455
2019-11-20,-0.5200581027795825,14415,-0.0027748872702046956,0.007630939993062746,-0.013527575442247697,-0.03919528269164063,-0.008324661810613976
2019-11-21,-1.6347919135069657,14375,0.010782608695652174,-0.0003478260869564931,-0.018434782608695688,-0.0344347826086957,0.0013913043478261944
2019-11-22,0.09711435165540294,14530,-0.00034411562284930586,-0.021335168616655187,-0.03613214039917412,-0.03991741225051615,-0.013076393668272512
2019-11-25,0.041834668863846014,14525,-0.010671256454388933,-0.02857142857142858,-0.04096385542168679,-0.04061962134251296,-0.005851979345955272
2019-11-26,-1.9879840625868264,14370,-0.01043841336116913,-0.02540013917884476,-0.02435629784272786,-0.026791927627000667,-0.0041753653444676075
2019-11-27,-1.8091187850164783,14220,-0.007735583684950753,-0.020393811533052086,-0.026019690576652654,-0.0014064697609000865,0.0014064697609001975
2019-11-28,-1.2359155336277778,14110,-0.007441530829199183,-0.006378454996456395,-0.016300496102055306,0.008858965272856123,0.01133947554925574
2019-11-29,-1.3775268337552244,14005,-0.005355230274901812,-0.01106747590146373,-0.003927168868261388,0.019278828989646613,0.01677972152802565
2019-12-02,0.2449551599375499,13930,0.006460875807609456,-0.003589375448671883,0.000358937544867155,0.023330940416367518,0.016511127063890907
2019-12-03,0.6478098582559313,14020,-0.012125534950071293,-0.004992867332382356,-0.0024964336661911224,0.0199714693295292,0.02781740370898711
2019-12-04,-1.0493931130507743,13850,0.0021660649819494893,0.006137184115523553,0.025270758122743597,0.03212996389891698,-0.003249097472924234
2019-12-05,0.5221591543060344,13880,0.005043227665705974,0.007564841498559183,0.025576368876080613,0.037103746397694426,-0.009365994236311237
2019-12-06,-0.02837516732319134,13950,-0.0010752688172043223,0.017921146953405076,0.023297491039426577,0.027956989247311936,-0.003942652329749108
2019-12-09,-0.406005822443265,13935,0.0035880875493361497,0.02152852529601712,0.022963760315751758,0.03623968424829571,-0.0003588087549336594
2019-12-10,0.05082706919603108,13985,0.015373614587057549,0.020736503396496353,0.0225241329996424,0.02323918484090104,-0.0014301036825169477
2019-12-11,0.6134913941045819,14200,0.0024647887323943074,0.0038732394366196576,0.006690140845070358,0.0028169014084507005,-0.017605633802816878
2019-12-12,0.44534624660034217,14235,0.0028099754127151044,0.004566210045662045,0.01123990165086064,0.0024587284861257164,-0.011942395504039305
2019-12-13,-0.2635837339632807,14275,-0.0014010507880910517,0.0014010507880910517,0.004553415061296029,-0.0024518388791593404,-0.017162872154115605
2019-12-16,-0.7479745374058089,14255,0.0031567870922484254,0.009821115398105817,0.012977902490354243,-0.006664328305857614,-0.02911259207295691
2019-12-17,0.31093508734792996,14300,-0.00034965034965039887,0.002797202797202747,0.0006993006993007977,0.007692307692307665,-0.03286713286713283
2019-12-18,-0.2796370841557483,14295,0.006995452955578907,0.010143406785589448,-0.0038474991255683655,-0.03427771948233649,-0.025183630640083998
2019-12-19,-0.11300652106717601,14395,-0.003820771101076814,-0.00590482806530046,-0.008683570684265396,-0.044807224730809336,-0.03855505383813829
2019-12-20,-0.2028544066430571,14340,0.0069735006973501434,-0.006973500697350032,-0.006973500697350032,-0.03103207810320785,-0.03347280334728031
2019-12-23,-0.262745811440821,14440,-0.009002770083102463,-0.011772853185595622,-0.01939058171745156,-0.035318559556786755,-0.03981994459833793
2019-12-24,-1.7489983598016836,14310,-0.004891684136967167,-0.004891684136967167,0.006988120195667413,-0.024109014675052443,-0.03214535290006992
2019-12-25,-0.3836233295262115,14240,0.00210674157303381,-0.005617977528089901,-0.030547752808988804,-0.020365168539325795,-0.0375702247191011
2019-12-26,-0.2852724883719526,14270,-0.0021023125437982237,0.009810791871058155,-0.03644008409250177,-0.014365802382620863,-0.08689558514365803
2019-12-27,-0.5857387066416098,14240,-0.005617977528089901,-0.030547752808988804,-0.024227528089887596,-0.014747191011236005,-0.069873595505618
2019-12-30,0.5199087641103932,14160,0.017655367231638408,-0.028954802259887003,-0.016242937853107375,-0.02259887005649719,-0.06532485875706218
2019-12-31,7.769420740403461,14410,-0.041984732824427495,-0.03573907009021515,-0.03088133240804991,-0.04024982650936848,-0.07945870922970155
2020-01-02,-4.397346214327745,13805,-0.003984063745019917,0.00905469032959072,0.010503440782325235,0.009416877942774349,-0.03875407461064828
2020-01-03,1.0950401323906518,13750,0.010545454545454636,0.01563636363636367,0.02290909090909099,0.006545454545454632,-0.033454545454545404
2020-01-06,2.929864818379431,13895,0.0025188916876575096,0.003958258366318912,0.0097157250809643,-0.0025188916876573986,-0.035984166966534725
2020-01-07,0.3435228700190063,13930,0.002512562814070307,0.009691313711414296,-0.006460875807609456,-0.004666188083273459,-0.03086862885857866
2020-01-08,0.37796928127989515,13965,-0.0010741138560687036,0.0046544933762979745,-0.009667024704618665,-0.008234872896527023,-0.03580379520229149
2020-01-09,0.9274659980798694,13950,0.008243727598566286,-0.007885304659498216,-0.0010752688172043223,-0.017562724014336895,-0.04695340501792111
2020-01-10,2.875244405202722,14065,-0.0024884464984002985,-0.01670814077497329,-0.015997156061144713,-0.07358691788126559,-0.051190899395663014
2020-01-13,0.38678136616223213,14030,-0.013542409123307175,-0.006771204561653588,-0.012116892373485344,-0.0559515324305061,-0.05559515324305064
2020-01-14,0.22711025039889865,13840,-0.0007225433526011349,0.0,0.0018063583815028927,-0.04371387283236994,-0.04804913294797686
2020-01-15,0.28112835333817476,13830,0.00759219088937102,0.002169197396963085,0.001446131597975464,-0.04085321764280547,-0.041937816341287015
2020-01-16,0.34556751752236936,13935,-0.006817366343738751,-0.005023322569070676,-0.016505202726946555,-0.04772156440617148,-0.052744886975242156
2020-01-17,-1.5575287608324255,13840,0.0014450867052022698,0.0007225433526012459,-0.05852601156069359,-0.03973988439306353,-0.054552023121387294
