group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,-0.06996825860242728,-0.1773339749759384,-0.04327443202307968,-0.0015501654319960499,0.028498155283262057,311
2,-0.029057913400218287,-0.04319584280610589,-0.016291161178509483,-0.0007460450946337946,0.023616892150710386,310
3,-0.003995092437809328,-0.0162716660771135,0.007587859424920129,0.0023995496416734314,0.02507829817670032,311
4,0.022366167379925438,0.007675438596491224,0.041260315078769594,0.0019388330019523604,0.033449141586451875,310
5,0.08310892242697443,0.041314837153196615,0.25442604226156473,-0.0006631243412655517,0.03683903687141085,311
