group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,0.350643913094775,0.17206702034786112,0.42223003127525743,0.0019755871105273165,0.018418564124642465,305
2,0.4771542961270784,0.4227514292139619,0.5413861832950998,0.001822469053898933,0.02369822012117174,304
3,0.6270175498782722,0.5418945395264898,0.725256120854315,0.001635276704262857,0.02581656204333486,304
4,0.8469558834856586,0.7262281874995111,0.9901257467063092,0.003440835740526621,0.029464714302767897,304
5,1.3311131815498667,0.9956012075116635,3.543640718777755,0.0049510186668058655,0.030545079243162857,305
