group,factor_mean,factor_min,factor_max,ret_mean,ret_std,count
1,0.3505151407141212,0.17206702034786112,0.42204672671257926,0.0013542276524859285,0.013047237299139031,305
2,0.4769742165701872,0.42223003127525743,0.5413861832950998,0.000756934827079604,0.017083788228782815,305
3,0.6268443166432605,0.5418945395264898,0.7251066533539076,0.0015333774710363367,0.020517205769571376,304
4,0.8465568678704738,0.725256120854315,0.9901257467063092,0.0018495623555444508,0.02278816721629071,305
5,1.3311131815498667,0.9956012075116635,3.543640718777755,0.0027704717900569856,0.024197110470186797,305
