period,ic,pvalue,ic_mean,ic_std,icir,ic_positive_rate,sample_size
1D,0.005798218172212259,0.8187160919143573,0.051208365697075445,0.13143033678640773,0.38962363598212524,0.6316516931582584,1565
3D,0.01495240708755338,0.5547211589485022,0.0648077332040513,0.2226310424275128,0.29109926673928355,0.5958477508650519,1563
5D,0.02082933325181116,0.4108570385805035,0.0749694274017509,0.27545694497818196,0.27216386723409347,0.6146916146916147,1561
10D,0.007712044247212943,0.761150273824739,0.042650821374308014,0.38945433020800113,0.10951430775343778,0.5702364394993046,1556
20D,-0.025760547940203483,0.31142665349853943,0.022965691235830064,0.4893970383172024,0.046926502282886445,0.5126050420168067,1546
